Year,Provider,Quarter,Members,RiskFactor,Regionality,Treatment,Avg_ACR_Other_Providers,Churn
2017,1,2,3496932,1.015120536013137,1,0,1.014271178409129,0
2017,1,3,3520626,1.015120536013137,1,0,1.0209378450757955,0
2017,1,4,3557147,1.015120536013137,1,0,1.0209378450757955,0
2018,1,1,3553723,0.9918025971217022,1,0,1.0254464243589045,1
2018,1,2,3562991,0.9918025971217022,1,0,1.0232242021366824,0
2018,1,3,3579747,0.9918025971217022,1,0,1.027779757692238,0
2018,1,4,3595147,0.9918025971217022,1,0,1.027779757692238,0
2019,1,1,3616552,1.005776664383717,1,0,0.9703333333333335,0
2019,1,2,3603058,1.005776664383717,1,0,0.9729259259259261,1
2019,1,3,3571817,1.005776664383717,1,0,0.9791111111111112,1
2019,1,4,3593299,1.005776664383717,1,0,0.9791111111111112,0
2020,1,1,3580074,1.001601709318858,1,0,1.0374444444444444,1
2020,1,2,3597890,1.001601709318858,1,0,1.0530000000000002,0
2020,1,3,3589255,1.001601709318858,1,0,1.063,1
2020,1,4,3601650,1.001601709318858,1,0,1.063,0
2021,1,1,3582726,1.001601709318858,1,0,1.2098888888888888,1
2021,1,2,3580365,1.001601709318858,1,0,1.2098888888888888,1
2021,1,3,3587292,1.001601709318858,1,0,1.2131111111111113,0
2021,1,4,3604275,1.001601709318858,1,0,1.233111111111111,0
2022,1,1,3592146,1.011747686846629,1,1,1.2616666666666667,1
2022,1,2,3583910,1.011747686846629,1,0,1.2661111111111112,1
2022,1,3,3615556,1.011747686846629,1,0,1.2524444444444445,0
2022,1,4,3645272,1.011747686846629,1,0,1.2524444444444445,0
2023,1,1,3641782,1.001601709318858,1,1,1.4257777777777778,1
2023,1,2,3639455,1.001601709318858,1,0,1.4257777777777778,1
2023,1,3,3647092,1.001601709318858,1,0,1.4202222222222223,0
2023,1,4,3660945,1.001601709318858,1,0,1.42,0
2024,1,1,3648180,1.001601709318858,1,0,1.5867777777777774,1
2024,1,2,3639133,1.001601709318858,1,0,1.591111111111111,1
2024,1,3,3638656,1.001601709318858,1,0,1.7074444444444443,1
2024,1,4,3646148,1.001601709318858,1,0,1.9229999999999998,0
2025,1,1,3627408,0.9897709593613556,1,1,2.9512222222222224,1
2016,2,2,178754,1.076461845285246,1,0,0.9459403488370017,0
2016,2,3,179883,1.076461845285246,1,0,0.949273682170335,0
2016,2,4,182327,1.076461845285246,1,0,0.949273682170335,0
2017,2,1,183684,1.043855536180048,1,0,1.0064934006313513,0
2017,2,2,186278,1.043855536180048,1,0,1.014271178409129,0
2017,2,3,188350,1.043855536180048,1,0,1.0209378450757955,0
2017,2,4,190074,1.043855536180048,1,0,1.0209378450757955,0
2018,2,1,190815,0.9989532676171388,1,-1,1.028779757692238,0
2018,2,2,191891,0.9989532676171388,1,0,1.0265575354700158,0
2018,2,3,193015,0.9989532676171388,1,0,1.0311130910255712,0
2018,2,4,193943,0.9989532676171388,1,0,1.0311130910255712,0
2019,2,1,192874,0.9917818323311238,1,-1,0.9747777777777779,1
2019,2,2,194144,0.9917818323311238,1,0,0.9773703703703704,0
2019,2,3,194649,0.9917818323311238,1,0,0.9835555555555555,0
2019,2,4,195829,0.9917818323311238,1,0,0.9835555555555555,0
2020,2,1,196381,0.9740616737524622,1,0,1.0418888888888889,0
2020,2,2,197712,0.9740616737524622,1,0,1.0574444444444444,0
2020,2,3,198797,0.9740616737524622,1,0,1.0674444444444444,0
2020,2,4,198975,0.9740616737524622,1,0,1.0674444444444444,0
2021,2,1,199208,0.94,1,1,1.2076666666666667,0
2021,2,2,198518,0.94,1,0,1.2076666666666667,1
2021,2,3,198772,0.94,1,0,1.210888888888889,0
2021,2,4,199929,0.94,1,0,1.230888888888889,0
2022,2,1,199145,0.9253712577441786,1,1,1.2583333333333333,1
2022,2,2,198802,0.9253712577441786,1,0,1.2627777777777778,1
2022,2,3,200144,0.9253712577441786,1,0,1.249111111111111,0
2022,2,4,203635,0.9253712577441786,1,0,1.249111111111111,0
2023,2,1,204615,0.93,1,0,1.4255555555555557,0
2023,2,2,204333,0.93,1,0,1.4255555555555557,1
2023,2,3,205235,0.93,1,0,1.4200000000000002,0
2023,2,4,205839,0.93,1,-1,1.4222222222222223,0
2024,2,1,206551,0.91,1,0,1.589,0
2024,2,2,206413,0.91,1,0,1.5933333333333335,1
2024,2,3,207042,0.91,1,0,1.7096666666666667,0
2024,2,4,207767,0.91,1,0,1.9252222222222224,0
2025,2,1,207431,0.90024561192424,1,1,2.9534444444444445,1
2016,3,2,1178193,1.105691016005847,1,0,0.9459403488370017,0
2016,3,3,1185118,1.105691016005847,1,0,0.949273682170335,0
2016,3,4,1193804,1.105691016005847,1,0,0.949273682170335,0
2017,3,1,1200715,1.072639149782933,1,0,1.0064934006313513,0
2017,3,2,1210682,1.072639149782933,1,0,1.014271178409129,0
2017,3,3,1218602,1.072639149782933,1,0,1.0209378450757955,0
2017,3,4,1230753,1.072639149782933,1,0,1.0209378450757955,0
2018,3,1,1232724,1.049678577221993,1,-1,1.0265575354700156,0
2018,3,2,1237843,1.049678577221993,1,0,1.0243353132477935,0
2018,3,3,1242871,1.049678577221993,1,0,1.0288908688033491,0
2018,3,4,1251739,1.049678577221993,1,0,1.0288908688033491,0
2019,3,1,1251770,1.039745835079701,1,-1,0.9725555555555556,0
2019,3,2,1257232,1.039745835079701,1,0,0.9751481481481482,0
2019,3,3,1256587,1.039745835079701,1,0,0.9813333333333333,1
2019,3,4,1263980,1.039745835079701,1,0,0.9813333333333333,0
2020,3,1,1262885,1.017926445759389,1,0,1.0396666666666665,1
2020,3,2,1264998,1.017926445759389,1,0,1.0552222222222223,0
2020,3,3,1266103,1.017926445759389,1,0,1.065222222222222,0
2020,3,4,1270348,1.017926445759389,1,0,1.065222222222222,0
2021,3,1,1264700,1.0,1,1,1.2076666666666667,1
2021,3,2,1259650,1.0,1,0,1.2076666666666667,1
2021,3,3,1260269,1.0,1,0,1.210888888888889,0
2021,3,4,1262679,1.0,1,0,1.230888888888889,0
2022,3,1,1257753,0.9939692382615496,1,1,1.2594444444444444,1
2022,3,2,1255946,0.9939692382615496,1,0,1.2638888888888888,1
2022,3,3,1264463,0.9939692382615496,1,0,1.2502222222222221,0
2022,3,4,1276028,0.9939692382615496,1,0,1.2502222222222221,0
2023,3,1,1277479,0.99,1,1,1.4255555555555557,0
2023,3,2,1275005,0.99,1,0,1.4255555555555557,1
2023,3,3,1276517,0.99,1,0,1.4200000000000002,0
2023,3,4,1280172,0.99,1,0,1.4197777777777778,0
2024,3,1,1280207,0.98,1,0,1.5865555555555555,0
2024,3,2,1278624,0.98,1,0,1.590888888888889,1
2024,3,3,1280693,0.98,1,0,1.7072222222222222,0
2024,3,4,1284768,0.98,1,0,1.922777777777778,0
2025,3,1,1281555,0.9736729678126018,1,1,2.9534444444444445,1
2016,4,2,2070675,1.040653368789672,1,0,0.9459403488370017,0
2016,4,3,2079550,1.040653368789672,1,0,0.949273682170335,0
2016,4,4,2097663,1.040653368789672,1,0,0.949273682170335,0
2017,4,1,2106520,1.05961276897341,1,0,1.0064934006313513,0
2017,4,2,2121584,1.05961276897341,1,0,1.014271178409129,0
2017,4,3,2134489,1.05961276897341,1,0,1.0209378450757955,0
2017,4,4,2154463,1.05961276897341,1,0,1.0209378450757955,0
2018,4,1,2151377,1.035094658471105,1,-1,1.0276686465811267,1
2018,4,2,2155738,1.035094658471105,1,0,1.0254464243589045,0
2018,4,3,2161781,1.035094658471105,1,0,1.0300019799144602,0
2018,4,4,2173437,1.035094658471105,1,0,1.0300019799144602,0
2019,4,1,2179479,1.045651431171383,1,0,0.9725555555555556,0
2019,4,2,2172523,1.045651431171383,1,0,0.9751481481481482,1
2019,4,3,2161273,1.045651431171383,1,0,0.9813333333333333,1
2019,4,4,2176000,1.045651431171383,1,0,0.9813333333333333,0
2020,4,1,2172619,1.038185935632214,1,0,1.0396666666666665,1
2020,4,2,2172907,1.038185935632214,1,0,1.0552222222222223,0
2020,4,3,2173274,1.038185935632214,1,0,1.065222222222222,0
2020,4,4,2180446,1.038185935632214,1,0,1.065222222222222,0
2021,4,1,2174680,1.04,1,1,1.2076666666666667,1
2021,4,2,2175254,1.04,1,0,1.2076666666666667,0
2021,4,3,2178976,1.04,1,0,1.210888888888889,0
2021,4,4,2189567,1.04,1,0,1.230888888888889,0
2022,4,1,2184637,1.042417432381955,1,1,1.257222222222222,1
2022,4,2,2183449,1.042417432381955,1,0,1.2616666666666667,1
2022,4,3,2192135,1.042417432381955,1,0,1.248,0
2022,4,4,2212035,1.042417432381955,1,0,1.248,0
2023,4,1,2214070,1.03,1,1,1.4223333333333334,0
2023,4,2,2211458,1.03,1,0,1.4223333333333334,1
2023,4,3,2212956,1.03,1,0,1.416777777777778,0
2023,4,4,2223150,1.03,1,0,1.4165555555555556,0
2024,4,1,2217894,1.02,1,0,1.5833333333333333,1
2024,4,2,2220857,1.02,1,0,1.5876666666666668,0
2024,4,3,2222656,1.02,1,0,1.7040000000000002,0
2024,4,4,2230644,1.02,1,0,1.9195555555555557,0
2025,4,1,2224273,1.011771642118803,1,1,2.950111111111111,1
2016,5,2,1888691,1.063945175749392,1,0,0.949273682170335,0
2016,5,3,1906807,1.063945175749392,1,0,0.9526070155036683,0
2016,5,4,1936325,1.063945175749392,1,0,0.9526070155036683,0
2017,5,1,1944730,1.046266756466885,1,0,1.0098267339646845,0
2017,5,2,1969747,1.046266756466885,1,0,1.0176045117424624,0
2017,5,3,1995911,1.046266756466885,1,0,1.024271178409129,0
2017,5,4,2028673,1.046266756466885,1,0,1.024271178409129,0
2018,5,1,2036313,1.018048633540471,1,0,1.028779757692238,0
2018,5,2,2056944,1.018048633540471,1,0,1.0265575354700158,0
2018,5,3,2078876,1.018048633540471,1,0,1.0311130910255712,0
2018,5,4,2106870,1.018048633540471,1,0,1.0311130910255712,0
2019,5,1,2110247,1.013637295802248,1,0,0.9736666666666668,0
2019,5,2,2129487,1.013637295802248,1,0,0.9762592592592594,0
2019,5,3,2139808,1.013637295802248,1,0,0.9824444444444445,0
2019,5,4,2162597,1.013637295802248,1,0,0.9824444444444445,0
2020,5,1,2169859,0.9966027042431996,1,0,1.0407777777777778,0
2020,5,2,2176463,0.9966027042431996,1,0,1.0563333333333333,0
2020,5,3,2186245,0.9966027042431996,1,0,1.0663333333333334,0
2020,5,4,2197714,0.9966027042431996,1,0,1.0663333333333334,0
2021,5,1,2195736,0.99,1,1,1.2076666666666667,1
2021,5,2,2200677,0.99,1,0,1.2076666666666667,0
2021,5,3,2208038,0.99,1,0,1.210888888888889,0
2021,5,4,2222917,0.99,1,0,1.230888888888889,0
2022,5,1,2217425,0.9821441344481462,1,0,1.2616666666666667,1
2022,5,2,2226270,0.9821441344481462,1,0,1.2661111111111112,0
2022,5,3,2245540,0.9821441344481462,1,0,1.2524444444444445,0
2022,5,4,2273441,0.9821441344481462,1,0,1.2524444444444445,0
2023,5,1,2277487,0.97,1,1,1.4266666666666667,0
2023,5,2,2280121,0.97,1,0,1.4266666666666667,0
2023,5,3,2287800,0.97,1,0,1.4211111111111112,0
2023,5,4,2304556,0.97,1,0,1.4208888888888889,0
2024,5,1,2301452,0.96,1,0,1.5876666666666666,1
2024,5,2,2308466,0.96,1,0,1.592,0
2024,5,3,2313738,0.96,1,0,1.7083333333333333,0
2024,5,4,2329966,0.96,1,0,1.923888888888889,0
2025,5,1,2324317,0.9383369421761234,1,1,2.9511111111111115,1
2016,6,2,1458298,1.369873653319534,1,0,0.9481625710592239,0
2016,6,3,1463993,1.369873653319534,1,0,0.9514959043925572,0
2016,6,4,1463824,1.369873653319534,1,0,0.9514959043925572,1
2017,6,1,1463445,1.336587241945729,1,0,1.0087156228535732,1
2017,6,2,1466537,1.336587241945729,1,0,1.016493400631351,0
2017,6,3,1471015,1.336587241945729,1,0,1.0231600672980177,0
2017,6,4,1474816,1.336587241945729,1,0,1.0231600672980177,0
2018,6,1,1471401,1.31108847659066,1,0,1.0276686465811267,1
2018,6,2,1465949,1.31108847659066,1,0,1.0254464243589045,1
2018,6,3,1462532,1.31108847659066,1,0,1.0300019799144602,1
2018,6,4,1460611,1.31108847659066,1,0,1.0300019799144602,1
2019,6,1,1458965,1.293967561066205,1,0,0.9725555555555556,1
2019,6,2,1449306,1.293967561066205,1,0,0.9751481481481482,1
2019,6,3,1442989,1.293967561066205,1,0,0.9813333333333333,1
2019,6,4,1443904,1.293967561066205,1,0,0.9813333333333333,0
2020,6,1,1434236,1.26898359602194,1,0,1.0396666666666665,1
2020,6,2,1427403,1.26898359602194,1,0,1.0552222222222223,1
2020,6,3,1427887,1.26898359602194,1,0,1.065222222222222,0
2020,6,4,1421611,1.26898359602194,1,0,1.065222222222222,1
2021,6,1,1412194,1.27,1,1,1.2054444444444443,1
2021,6,2,1406573,1.27,1,0,1.2054444444444443,1
2021,6,3,1403338,1.27,1,0,1.2086666666666668,1
2021,6,4,1398366,1.27,1,0,1.2286666666666666,1
2022,6,1,1387304,1.230620465225294,1,1,1.257222222222222,1
2022,6,2,1376822,1.230620465225294,1,0,1.2616666666666667,1
2022,6,3,1377231,1.230620465225294,1,0,1.248,0
2022,6,4,1379836,1.230620465225294,1,0,1.248,0
2023,6,1,1375153,1.24,1,1,1.4222222222222223,1
2023,6,2,1364654,1.24,1,0,1.4222222222222223,1
2023,6,3,1364412,1.24,1,0,1.4166666666666667,1
2023,6,4,1360583,1.24,1,0,1.4164444444444444,1
2024,6,1,1352395,1.23,1,1,1.5743333333333334,1
2024,6,2,1329140,1.23,1,0,1.5786666666666669,1
2024,6,3,1322743,1.23,1,0,1.695,1
2024,6,4,1315294,1.23,1,0,1.9105555555555558,1
2025,6,1,1303932,1.215860851230609,1,1,2.9422222222222225,1
2016,7,2,2480076,1.116820794045733,1,0,0.9548292377258907,0
2016,7,3,2516830,1.116820794045733,1,0,0.958162571059224,0
2016,7,4,2542862,1.116820794045733,1,0,0.958162571059224,0
2017,7,1,2553127,1.105734951421119,1,1,1.0120489561869068,0
2017,7,2,2570233,1.105734951421119,1,0,1.0198267339646845,0
2017,7,3,2586786,1.105734951421119,1,0,1.026493400631351,0
2017,7,4,2609792,1.105734951421119,1,0,1.026493400631351,0
2018,7,1,2616069,1.092368356244685,1,0,1.03100197991446,0
2018,7,2,2630126,1.092368356244685,1,0,1.028779757692238,0
2018,7,3,2644092,1.092368356244685,1,0,1.0333353132477936,0
2018,7,4,2664626,1.092368356244685,1,0,1.0333353132477936,0
2019,7,1,2668330,1.087983700608281,1,0,0.975888888888889,0
2019,7,2,2682834,1.087983700608281,1,0,0.9784814814814816,0
2019,7,3,2688091,1.087983700608281,1,0,0.9846666666666667,0
2019,7,4,2706264,1.087983700608281,1,0,0.9846666666666667,0
2020,7,1,2707072,1.073183586159115,1,0,1.0430000000000001,0
2020,7,2,2719981,1.073183586159115,1,0,1.0585555555555557,0
2020,7,3,2724756,1.073183586159115,1,0,1.0685555555555555,0
2020,7,4,2733171,1.073183586159115,1,0,1.0685555555555555,0
2021,7,1,2727491,1.07,1,1,1.2087777777777777,1
2021,7,2,2725215,1.07,1,0,1.2087777777777777,1
2021,7,3,2725336,1.07,1,0,1.212,0
2021,7,4,2734625,1.07,1,0,1.232,0
2022,7,1,2727865,1.050528103266891,1,0,1.2627777777777778,1
2022,7,2,2730757,1.050528103266891,1,0,1.2672222222222222,0
2022,7,3,2738785,1.050528103266891,1,0,1.2535555555555555,0
2022,7,4,2763693,1.050528103266891,1,0,1.2535555555555555,0
2023,7,1,2761837,1.07,1,1,1.4266666666666667,1
2023,7,2,2758929,1.07,1,0,1.4266666666666667,1
2023,7,3,2761444,1.07,1,0,1.4211111111111112,0
2023,7,4,2773413,1.07,1,0,1.4208888888888889,0
2024,7,1,2767970,1.07,1,1,1.5843333333333331,1
2024,7,2,2765435,1.07,1,0,1.5886666666666664,1
2024,7,3,2765543,1.07,1,0,1.7049999999999998,0
2024,7,4,2776009,1.07,1,0,1.9205555555555556,0
2025,7,1,2767866,1.062356862755748,1,1,2.9466666666666663,1
2016,8,2,903821,1.181832262381888,1,0,0.9459403488370017,0
2016,8,3,912884,1.181832262381888,1,0,0.949273682170335,0
2016,8,4,917139,1.181832262381888,1,0,0.949273682170335,0
2017,8,1,916047,1.174334748608961,1,0,1.0064934006313513,1
2017,8,2,923560,1.174334748608961,1,0,1.014271178409129,0
2017,8,3,926987,1.174334748608961,1,0,1.0209378450757955,0
2017,8,4,932552,1.174334748608961,1,0,1.0209378450757955,0
2018,8,1,928780,1.138997259436982,1,-1,1.0265575354700156,1
2018,8,2,930808,1.138997259436982,1,0,1.0243353132477935,0
2018,8,3,932583,1.138997259436982,1,0,1.0288908688033491,0
2018,8,4,936742,1.138997259436982,1,0,1.0288908688033491,0
2019,8,1,928096,1.140308847901973,1,-1,0.9725555555555556,1
2019,8,2,932930,1.140308847901973,1,0,0.9751481481481482,0
2019,8,3,924941,1.140308847901973,1,0,0.9813333333333333,1
2019,8,4,928199,1.140308847901973,1,0,0.9813333333333333,0
2020,8,1,920939,1.125520928959615,1,0,1.0396666666666665,1
2020,8,2,927185,1.125520928959615,1,0,1.0552222222222223,0
2020,8,3,928779,1.125520928959615,1,0,1.065222222222222,0
2020,8,4,928945,1.125520928959615,1,0,1.065222222222222,0
2021,8,1,921757,1.1,1,0,1.212111111111111,1
2021,8,2,922951,1.1,1,0,1.212111111111111,0
2021,8,3,925042,1.1,1,0,1.2153333333333334,0
2021,8,4,926150,1.1,1,0,1.2353333333333332,0
2022,8,1,919178,1.078531375765454,1,1,1.2616666666666667,1
2022,8,2,921856,1.078531375765454,1,0,1.2661111111111112,0
2022,8,3,928871,1.078531375765454,1,0,1.2524444444444445,0
2022,8,4,936028,1.078531375765454,1,0,1.2524444444444445,0
2023,8,1,931902,1.06,1,1,1.4233333333333333,1
2023,8,2,933231,1.06,1,0,1.4233333333333333,0
2023,8,3,935164,1.06,1,0,1.4177777777777778,0
2023,8,4,937227,1.06,1,0,1.4175555555555555,0
2024,8,1,930531,1.04,1,0,1.5843333333333331,1
2024,8,2,934950,1.04,1,0,1.5886666666666664,0
2024,8,3,937803,1.04,1,0,1.7049999999999998,0
2024,8,4,940789,1.04,1,0,1.9205555555555556,0
2025,8,1,934209,1.011764061932219,1,1,2.9536666666666664,1
2016,9,2,2165166,1.014983367519833,1,0,0.9426070155036683,0
2016,9,3,2184006,1.014983367519833,1,0,0.9459403488370016,0
2016,9,4,2201749,1.014983367519833,1,0,0.9459403488370016,0
2017,9,1,2208066,1.015945659473408,1,0,1.0031600672980177,0
2017,9,2,2223193,1.015945659473408,1,0,1.0109378450757955,0
2017,9,3,2233709,1.015945659473408,1,0,1.0176045117424621,0
2017,9,4,2248132,1.015945659473408,1,0,1.0176045117424621,0
2018,9,1,2248394,1.012396011092387,1,0,1.0221130910255711,0
2018,9,2,2248281,1.012396011092387,1,0,1.019890868803349,1
2018,9,3,2250916,1.012396011092387,1,0,1.0244464243589044,0
2018,9,4,2257420,1.012396011092387,1,0,1.0244464243589044,0
2019,9,1,2251352,1.00517769885435,1,-1,0.9703333333333335,1
2019,9,2,2255029,1.00517769885435,1,0,0.9729259259259261,0
2019,9,3,2238895,1.00517769885435,1,0,0.9791111111111112,1
2019,9,4,2250830,1.00517769885435,1,0,0.9791111111111112,0
2020,9,1,2248187,1.026744242350423,1,0,1.0374444444444444,1
2020,9,2,2256229,1.026744242350423,1,0,1.0530000000000002,0
2020,9,3,2260579,1.026744242350423,1,0,1.063,0
2020,9,4,2261550,1.026744242350423,1,0,1.063,0
2021,9,1,2255871,1.02,1,0,1.2098888888888888,1
2021,9,2,2253414,1.02,1,0,1.2098888888888888,1
2021,9,3,2253559,1.02,1,0,1.2131111111111113,0
2021,9,4,2252290,1.02,1,0,1.233111111111111,1
2022,9,1,2249480,1.01564113683645,1,1,1.2583333333333333,1
2022,9,2,2234030,1.01564113683645,1,0,1.2627777777777778,1
2022,9,3,2240580,1.01564113683645,1,0,1.249111111111111,0
2022,9,4,2255135,1.01564113683645,1,0,1.249111111111111,0
2023,9,1,2259430,1.02,1,1,1.4233333333333333,0
2023,9,2,2249943,1.02,1,0,1.4233333333333333,1
2023,9,3,2251860,1.02,1,0,1.4177777777777778,0
2023,9,4,2258630,1.02,1,0,1.4175555555555555,0
2024,9,1,2252633,1.02,1,1,1.579888888888889,1
2024,9,2,2243278,1.02,1,0,1.5842222222222224,1
2024,9,3,2243784,1.02,1,0,1.7005555555555556,0
2024,9,4,2247870,1.02,1,0,1.9161111111111113,0
2025,9,1,2239511,1.015740094285598,1,1,2.947888888888889,1
2016,10,2,618033,1.399996247670359,1,0,0.9548292377258907,0
2016,10,3,624844,1.399996247670359,1,0,0.958162571059224,0
2016,10,4,630469,1.399996247670359,1,0,0.958162571059224,0
2017,10,1,633152,1.346786970584741,1,0,1.01538228952024,0
2017,10,2,637558,1.346786970584741,1,0,1.023160067298018,0
2017,10,3,642464,1.346786970584741,1,0,1.0298267339646845,0
2017,10,4,647358,1.346786970584741,1,0,1.0298267339646845,0
2018,10,1,649575,1.305519273493653,1,0,1.0343353132477935,0
2018,10,2,651416,1.305519273493653,1,0,1.0321130910255714,0
2018,10,3,653996,1.305519273493653,1,0,1.0366686465811268,0
2018,10,4,656701,1.305519273493653,1,0,1.0366686465811268,0
2019,10,1,657420,1.29458281908549,1,0,0.9792222222222223,0
2019,10,2,659765,1.29458281908549,1,0,0.9818148148148149,0
2019,10,3,658729,1.29458281908549,1,0,0.988,1
2019,10,4,661346,1.29458281908549,1,0,0.988,0
2020,10,1,660609,1.275800093760714,1,-1,1.0496666666666667,1
2020,10,2,664673,1.275800093760714,1,0,1.0652222222222223,0
2020,10,3,666333,1.275800093760714,1,0,1.075222222222222,0
2020,10,4,667457,1.275800093760714,1,0,1.075222222222222,0
2021,10,1,667537,1.25,1,1,1.2154444444444445,0
2021,10,2,669386,1.25,1,0,1.2154444444444445,0
2021,10,3,669666,1.25,1,0,1.2186666666666668,0
2021,10,4,671407,1.25,1,0,1.2386666666666668,0
2022,10,1,669806,1.212180652886651,1,1,1.2672222222222222,1
2022,10,2,669140,1.212180652886651,1,0,1.2716666666666667,1
2022,10,3,677701,1.212180652886651,1,0,1.258,0
2022,10,4,680591,1.212180652886651,1,0,1.258,0
2023,10,1,680864,1.23,1,1,1.4322222222222223,0
2023,10,2,678854,1.23,1,0,1.4322222222222223,1
2023,10,3,679918,1.23,1,0,1.4266666666666667,0
2023,10,4,682905,1.23,1,0,1.4264444444444444,0
2024,10,1,682220,1.22,1,1,1.5898888888888887,1
2024,10,2,684234,1.22,1,0,1.5942222222222222,0
2024,10,3,685195,1.22,1,0,1.7105555555555554,0
2024,10,4,687187,1.22,1,0,1.926111111111111,0
2025,10,1,690521,1.198946761579119,1,1,2.9533333333333336,0
2016,11,2,445935,0.8048808217727136,0,0,0.9503847932814461,0
2016,11,3,459520,0.8048808217727136,0,0,0.9537181266147794,0
2016,11,4,468798,0.8048808217727136,0,0,0.9537181266147794,0
2017,11,1,472280,0.8032538923481337,0,0,1.0109378450757955,0
2017,11,2,481508,0.8032538923481337,0,0,1.0187156228535734,0
2017,11,3,490065,0.8032538923481337,0,0,1.02538228952024,0
2017,11,4,501070,0.8032538923481337,0,0,1.02538228952024,0
2018,11,1,505571,0.8029107357198013,0,0,1.029890868803349,0
2018,11,2,512789,0.8029107357198013,0,0,1.0276686465811269,0
2018,11,3,518062,0.8029107357198013,0,0,1.0322242021366823,0
2018,11,4,525444,0.8029107357198013,0,0,1.0322242021366823,0
2019,11,1,526870,0.8167040940250685,0,0,0.9747777777777779,0
2019,11,2,533133,0.8167040940250685,0,0,0.9773703703703704,0
2019,11,3,535573,0.8167040940250685,0,0,0.9835555555555555,0
2019,11,4,540535,0.8167040940250685,0,0,0.9835555555555555,0
2020,11,1,541170,0.8089053070084944,0,0,1.0418888888888889,0
2020,11,2,545127,0.8089053070084944,0,0,1.0574444444444444,0
2020,11,3,546929,0.8089053070084944,0,0,1.0674444444444444,0
2020,11,4,551442,0.8089053070084944,0,0,1.0674444444444444,0
2021,11,1,550952,0.83,0,1,1.2098888888888888,1
2021,11,2,550528,0.83,0,0,1.2098888888888888,1
2021,11,3,551983,0.83,0,0,1.2131111111111113,0
2021,11,4,555569,0.83,0,0,1.233111111111111,0
2022,11,1,554542,0.8094477376169258,0,0,1.2638888888888888,1
2022,11,2,556998,0.8094477376169258,0,0,1.2683333333333333,0
2022,11,3,559628,0.8094477376169258,0,0,1.2546666666666666,0
2022,11,4,563440,0.8094477376169258,0,0,1.2546666666666666,0
2023,11,1,562737,0.85,0,1,1.4294444444444445,1
2023,11,2,565361,0.85,0,0,1.4294444444444445,0
2023,11,3,566429,0.85,0,0,1.423888888888889,0
2023,11,4,569526,0.85,0,0,1.4236666666666666,0
2024,11,1,568589,0.86,0,-1,1.593222222222222,1
2024,11,2,575982,0.86,0,0,1.5975555555555556,0
2024,11,3,587138,0.86,0,0,1.7138888888888888,0
2024,11,4,595201,0.86,0,0,1.9294444444444445,0
