Year,Provider,Quarter,RiskFactor,Regionality,Treatment,Churn,CATE(1 vs 0),CATE(1 vs -1),CATE(0 vs -1)
2022,1,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2022,1,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2023,1,1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2023,1,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2023,1,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2023,1,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2024,1,1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2024,1,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2024,1,3,14,1,0,1,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2024,1,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2025,1,1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2016,2,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2016,2,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2016,2,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2017,2,1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2017,2,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2017,2,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2017,2,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2018,2,1,14,1,-1,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2018,2,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2018,2,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2018,2,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2019,2,1,14,1,-1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2019,2,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2019,2,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2019,2,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2020,2,1,13,1,0,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2020,2,2,13,1,0,0,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2020,2,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2020,2,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2021,2,1,13,1,1,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2021,2,2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2021,2,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2021,2,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2022,2,1,13,1,1,1,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2022,2,2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2022,2,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2022,2,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2023,2,1,13,1,0,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2023,2,2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2023,2,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2023,2,4,13,1,-1,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2024,2,1,13,1,0,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2024,2,2,13,1,0,1,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2024,2,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2024,2,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2025,2,1,12,1,1,1,0.09679673862617699,0.11879947067491836,0.02200273204874137
2016,3,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2016,3,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2016,3,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2017,3,1,15,1,0,0,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2017,3,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2017,3,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2017,3,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2018,3,1,14,1,-1,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2018,3,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2018,3,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2018,3,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2019,3,1,14,1,-1,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2019,3,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2019,3,3,14,1,0,1,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2019,3,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2020,3,1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2020,3,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2020,3,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2020,3,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2021,3,1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2021,3,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2021,3,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2021,3,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2022,3,1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2022,3,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2022,3,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2022,3,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2023,3,1,14,1,1,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2023,3,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2023,3,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2023,3,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2024,3,1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2024,3,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2024,3,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2024,3,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2025,3,1,13,1,1,1,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2016,4,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2016,4,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2016,4,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2017,4,1,15,1,0,0,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2017,4,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2017,4,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2017,4,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2018,4,1,14,1,-1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2018,4,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2018,4,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2018,4,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2019,4,1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2019,4,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2019,4,3,14,1,0,1,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2019,4,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2020,4,1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2020,4,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2020,4,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2020,4,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2021,4,1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2021,4,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2021,4,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2021,4,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2022,4,1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2022,4,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2022,4,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2022,4,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2023,4,1,14,1,1,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2023,4,2,14,1,0,1,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2023,4,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2023,4,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2024,4,1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2024,4,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2024,4,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2024,4,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2025,4,1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2016,5,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2016,5,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2016,5,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2017,5,1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2017,5,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2017,5,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2017,5,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2018,5,1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2018,5,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2018,5,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2018,5,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2019,5,1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2019,5,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2019,5,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2019,5,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2020,5,1,14,1,0,0,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2020,5,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2020,5,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2020,5,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2021,5,1,14,1,1,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2021,5,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2021,5,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2021,5,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2022,5,1,14,1,0,1,0.12591618012815775,0.09292243185642968,-0.032993748271728074
2022,5,2,14,1,0,0,-0.04346566212691977,-0.22413793103448276,-0.180672268907563
2022,5,3,14,1,0,0,0.5423495913804981,0.037222478424138616,-0.5051271129563595
2022,5,4,14,1,0,0,0.23332354733065785,-0.05196220930232548,-0.28528575663298333
2023,5,1,13,1,1,0,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2023,5,2,13,1,0,0,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2023,5,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2023,5,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2024,5,1,13,1,0,1,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2024,5,2,13,1,0,0,-0.05025822767937027,-0.22413793103448276,-0.1738797033551125
2024,5,3,13,1,0,0,0.60311992596561,0.06614887212456799,-0.536971053841042
2024,5,4,13,1,0,0,0.027846893342939827,-0.11579021869912944,-0.14363711204206925
2025,5,1,13,1,1,1,0.0789484172886738,-0.2497368572958345,-0.3286852745845083
2016,6,2,19,1,0,0,0.12089241797917427,-0.22413793103448276,-0.34503034901365703
2016,6,3,19,1,0,0,0.44459315718583603,-0.055574555403556714,-0.5001677125893927
2016,6,4,19,1,0,1,0.04668776079746073,-0.05196220930232548,-0.09864997009978621
2017,6,1,19,1,0,1,0.01365533287260745,-0.07195562938315136,-0.08561096225575882
2017,6,2,19,1,0,0,0.12089241797917427,-0.22413793103448276,-0.34503034901365703
2017,6,3,19,1,0,0,0.44459315718583603,-0.055574555403556714,-0.5001677125893927
2017,6,4,19,1,0,0,0.04668776079746073,-0.05196220930232548,-0.09864997009978621
2018,6,1,18,1,0,1,0.10713111451358859,-0.05986338330827423,-0.16699449782186282
2018,6,2,18,1,0,1,-0.2581946704775472,-0.22413793103448276,0.03405673944306442
2018,6,3,18,1,0,1,0.06917192474430511,-0.055574555403556714,-0.12474648014786183
2018,6,4,18,1,0,1,-0.05117759240883146,-0.05196220930232548,-0.0007846168934940168
2019,6,1,18,1,0,1,0.10713111451358859,-0.05986338330827423,-0.16699449782186282
2019,6,2,18,1,0,1,-0.2581946704775472,-0.22413793103448276,0.03405673944306442
2019,6,3,18,1,0,1,0.06917192474430511,-0.055574555403556714,-0.12474648014786183
2019,6,4,18,1,0,0,-0.05117759240883146,-0.05196220930232548,-0.0007846168934940168
2020,6,1,18,1,0,1,0.10713111451358859,-0.05986338330827423,-0.16699449782186282
2020,6,2,18,1,0,1,-0.2581946704775472,-0.22413793103448276,0.03405673944306442
2020,6,3,18,1,0,0,0.06917192474430511,-0.055574555403556714,-0.12474648014786183
2020,6,4,18,1,0,1,-0.05117759240883146,-0.05196220930232548,-0.0007846168934940168
2021,6,1,18,1,1,1,0.10713111451358859,-0.05986338330827423,-0.16699449782186282
2021,6,2,18,1,0,1,-0.2581946704775472,-0.22413793103448276,0.03405673944306442
2021,6,3,18,1,0,1,0.06917192474430511,-0.055574555403556714,-0.12474648014786183
2021,6,4,18,1,0,1,-0.05117759240883146,-0.05196220930232548,-0.0007846168934940168
2022,6,1,17,1,1,1,0.14879758694499023,0.06318662468923142,-0.08561096225575882
2022,6,2,17,1,0,1,-0.3712666439057698,-0.22413793103448276,0.14712871287128704
2022,6,3,17,1,0,0,0.2878100310159308,-0.055574555403556714,-0.3433845864194875
2022,6,4,17,1,0,0,0.04668776079746079,-0.05196220930232548,-0.09864997009978627
2023,6,1,17,1,1,1,0.14879758694499023,0.06318662468923142,-0.08561096225575882
2023,6,2,17,1,0,1,-0.3712666439057698,-0.22413793103448276,0.14712871287128704
2023,6,3,17,1,0,1,0.2878100310159308,-0.055574555403556714,-0.3433845864194875
2023,6,4,17,1,0,1,0.04668776079746079,-0.05196220930232548,-0.09864997009978627
2024,6,1,17,1,1,1,0.14879758694499023,0.06318662468923142,-0.08561096225575882
2024,6,2,17,1,0,1,-0.3712666439057698,-0.22413793103448276,0.14712871287128704
2024,6,3,17,1,0,1,0.2878100310159308,-0.055574555403556714,-0.3433845864194875
2024,6,4,17,1,0,1,0.04668776079746079,-0.05196220930232548,-0.09864997009978627
2025,6,1,17,1,1,1,0.14879758694499023,0.06318662468923142,-0.08561096225575882
2016,7,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2016,7,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2016,7,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2017,7,1,15,1,1,0,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2017,7,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2017,7,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2017,7,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2018,7,1,15,1,0,0,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2018,7,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2018,7,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2018,7,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2019,7,1,15,1,0,0,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2019,7,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2019,7,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2019,7,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2020,7,1,15,1,0,0,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2020,7,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2020,7,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2020,7,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2021,7,1,15,1,1,1,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2021,7,2,15,1,0,1,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2021,7,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2021,7,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2022,7,1,15,1,0,1,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2022,7,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2022,7,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2022,7,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2023,7,1,15,1,1,1,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2023,7,2,15,1,0,1,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2023,7,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2023,7,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2024,7,1,15,1,1,1,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2024,7,2,15,1,0,1,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2024,7,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2024,7,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2025,7,1,15,1,1,1,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2016,8,2,16,1,0,0,-0.03848960475514457,-0.22413793103448276,-0.1856483262793382
2016,8,3,16,1,0,0,0.17990588824413084,-0.055574555403556714,-0.23548044364768755
2016,8,4,16,1,0,0,0.1367407748761614,-0.05196220930232548,-0.18870298417848688
2017,8,1,16,1,0,1,0.058433327971985305,-0.0005678287439031537,-0.05900115671588846
2017,8,2,16,1,0,0,-0.03848960475514457,-0.22413793103448276,-0.1856483262793382
2017,8,3,16,1,0,0,0.17990588824413084,-0.055574555403556714,-0.23548044364768755
2017,8,4,16,1,0,0,0.1367407748761614,-0.05196220930232548,-0.18870298417848688
2018,8,1,16,1,-1,1,0.058433327971985305,-0.0005678287439031537,-0.05900115671588846
2018,8,2,16,1,0,0,-0.03848960475514457,-0.22413793103448276,-0.1856483262793382
2018,8,3,16,1,0,0,0.17990588824413084,-0.055574555403556714,-0.23548044364768755
2018,8,4,16,1,0,0,0.1367407748761614,-0.05196220930232548,-0.18870298417848688
2019,8,1,16,1,-1,1,0.058433327971985305,-0.0005678287439031537,-0.05900115671588846
2019,8,2,16,1,0,0,-0.03848960475514457,-0.22413793103448276,-0.1856483262793382
2019,8,3,16,1,0,1,0.17990588824413084,-0.055574555403556714,-0.23548044364768755
2019,8,4,16,1,0,0,0.1367407748761614,-0.05196220930232548,-0.18870298417848688
2020,8,1,16,1,0,1,0.058433327971985305,-0.0005678287439031537,-0.05900115671588846
2020,8,2,16,1,0,0,-0.03848960475514457,-0.22413793103448276,-0.1856483262793382
2020,8,3,16,1,0,0,0.17990588824413084,-0.055574555403556714,-0.23548044364768755
2020,8,4,16,1,0,0,0.1367407748761614,-0.05196220930232548,-0.18870298417848688
2021,8,1,15,1,0,1,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2021,8,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2021,8,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2021,8,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2022,8,1,15,1,1,1,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
2022,8,2,15,1,0,0,-0.006251190702991072,-0.22413793103448276,-0.2178867403314917
2022,8,3,15,1,0,0,0.3196456138392138,-0.055574555403556714,-0.3752201692427705
2022,8,4,15,1,0,0,0.2743811485331701,-0.05196220930232548,-0.32634335783549556
2023,8,1,15,1,1,1,0.08377624471732714,-0.15350485225520716,-0.2372810969725343
