,Year,Provider,Quarter,Members,ACR,RiskFactor,Regionality,Members_Lag,Rate_Lag,ChurnRate,Treatment,QuarterInt,ACR_next,treatment,CATE,Avg_ACR_Other_Providers
17,2020,AOK Baden-Württemberg,3,3441751,0.9,0.96682247031959,Regional,3436444.0,0.9,-0.001544328963312,0,3,0.9,0,0.0008606546248752,1.065222222222222
18,2020,AOK Baden-Württemberg,4,3453794,0.9,0.96682247031959,Regional,3441751.0,0.9,-0.0034990910150095,0,4,1.1,1,0.0093045609610761,1.065222222222222
19,2021,AOK Baden-Württemberg,1,3450692,1.1,0.95,Regional,3453794.0,0.9,0.0008981427381019,1,1,1.1,0,-0.0009817623690911,1.2098888888888888
20,2021,AOK Baden-Württemberg,2,3441942,1.1,0.95,Regional,3450692.0,1.1,0.0025357232694195,0,2,1.1,0,0.0033204014813633,1.2098888888888888
21,2021,AOK Baden-Württemberg,3,3441518,1.1,0.95,Regional,3441942.0,1.1,0.0001231862710063,0,3,1.1,0,-0.0034510673619751,1.2131111111111113
22,2021,AOK Baden-Württemberg,4,3456275,1.1,0.95,Regional,3441518.0,1.1,-0.0042879334061306,0,4,1.3,1,0.0062564865676327,1.233111111111111
23,2022,AOK Baden-Württemberg,1,3453151,1.3,0.9368486550601546,Regional,3456275.0,1.1,0.0009038632631952,1,1,1.3,0,-0.0022052714547828,1.2616666666666667
24,2022,AOK Baden-Württemberg,2,3447175,1.3,0.9368486550601546,Regional,3453151.0,1.3,0.001730593304492,0,2,1.3,0,0.0026997801706847,1.2661111111111112
25,2022,AOK Baden-Württemberg,3,3474113,1.3,0.9368486550601546,Regional,3447175.0,1.3,-0.0078145147838447,0,3,1.3,0,-0.0004075879457216,1.2524444444444445
26,2022,AOK Baden-Württemberg,4,3495954,1.3,0.9368486550601546,Regional,3474113.0,1.3,-0.0062867845691835,0,4,1.6,1,-0.0063267061356914,1.2524444444444445
27,2023,AOK Baden-Württemberg,1,3510507,1.6,0.93,Regional,3495954.0,1.3,-0.0041628122109158,1,1,1.6,0,-0.0017886759386653,1.4255555555555557
28,2023,AOK Baden-Württemberg,2,3502213,1.6,0.93,Regional,3510507.0,1.6,0.0023626216953847,0,2,1.6,0,-0.0065401025205674,1.4255555555555557
29,2023,AOK Baden-Württemberg,3,3511168,1.6,0.93,Regional,3502213.0,1.6,-0.0025569547026408,0,3,1.6,0,-0.0005374741662261,1.4200000000000002
30,2023,AOK Baden-Württemberg,4,3521081,1.6,0.93,Regional,3511168.0,1.6,-0.0028232770405745,0,4,1.6,0,0.000893058151416,1.4197777777777778
31,2024,AOK Baden-Württemberg,1,3523299,1.6,0.92,Regional,3521081.0,1.6,-0.0006299201864427,0,1,1.6,0,-0.0010135799218895,1.5865555555555555
32,2024,AOK Baden-Württemberg,2,3518303,1.6,0.92,Regional,3523299.0,1.6,0.0014179892197625,0,2,1.6,0,-0.0074814787648149,1.590888888888889
33,2024,AOK Baden-Württemberg,3,3527235,1.6,0.92,Regional,3518303.0,1.6,-0.0025387239245738,0,3,1.6,0,0.0008295222401926,1.7072222222222222
34,2024,AOK Baden-Württemberg,4,3537563,1.6,0.92,Regional,3527235.0,1.6,-0.0029280725554152,0,4,2.6,1,0.0008141711765293,1.922777777777778
35,2025,AOK Baden-Württemberg,1,3539685,2.6,0.9060689509330876,Regional,3537563.0,1.6,-0.0005998479744389,1,1,,0,-0.0002002008536305,2.9522222222222223
36,2016,AOK Bayern,2,3395941,1.1,1.042804999786472,Regional,3384168.0,1.1,-0.0034788462038527,0,2,1.1,0,0.0047337220851287,0.9459403488370016
37,2016,AOK Bayern,3,3423109,1.1,1.042804999786472,Regional,3395941.0,1.1,-0.0080001389894582,0,3,1.1,0,0.0006789444281914,0.949273682170335
38,2016,AOK Bayern,4,3457661,1.1,1.042804999786472,Regional,3423109.0,1.1,-0.0100937481102705,0,4,1.1,0,0.0023442248579353,0.949273682170335
39,2017,AOK Bayern,1,3458155,1.1,1.015120536013137,Regional,3457661.0,1.1,-0.0001428711490224,0,1,1.1,0,-0.0010659203797406,1.0064934006313513
40,2017,AOK Bayern,2,3496932,1.1,1.015120536013137,Regional,3458155.0,1.1,-0.0112132047291113,0,2,1.1,0,0.0050324213097604,1.014271178409129
41,2017,AOK Bayern,3,3520626,1.1,1.015120536013137,Regional,3496932.0,1.1,-0.0067756536300963,0,3,1.1,0,0.0007989784611206,1.0209378450757955
42,2017,AOK Bayern,4,3557147,1.1,1.015120536013137,Regional,3520626.0,1.1,-0.010373439269039,0,4,1.1,0,0.0057388131463337,1.0209378450757955
43,2018,AOK Bayern,1,3553723,1.1,0.9918025971217022,Regional,3557147.0,1.1,0.00096256916006,0,1,1.1,0,-0.0023204440818391,1.0254464243589043
44,2018,AOK Bayern,2,3562991,1.1,0.9918025971217022,Regional,3553723.0,1.1,-0.0026079691636067,0,2,1.1,0,0.0045440921876585,1.0232242021366824
45,2018,AOK Bayern,3,3579747,1.1,0.9918025971217022,Regional,3562991.0,1.1,-0.0047027904364619,0,3,1.1,0,-0.0010263244370535,1.027779757692238
46,2018,AOK Bayern,4,3595147,1.1,0.9918025971217022,Regional,3579747.0,1.1,-0.0043019800002625,0,4,1.1,0,0.000671165232187,1.027779757692238
47,2019,AOK Bayern,1,3616552,1.1,1.005776664383717,Regional,3595147.0,1.1,-0.0059538594666643,0,1,1.1,0,-0.002157156910008,0.9703333333333336
48,2019,AOK Bayern,2,3603058,1.1,1.005776664383717,Regional,3616552.0,1.1,0.003731178205097,0,2,1.1,0,0.0033606503007315,0.972925925925926
49,2019,AOK Bayern,3,3571817,1.1,1.005776664383717,Regional,3603058.0,1.1,0.0086706902858627,0,3,1.1,0,-0.00378735798597,0.9791111111111112
50,2019,AOK Bayern,4,3593299,1.1,1.005776664383717,Regional,3571817.0,1.1,-0.006014305884092,0,4,1.1,0,0.0018443324112756,0.9791111111111112
51,2020,AOK Bayern,1,3580074,1.1,1.001601709318858,Regional,3593299.0,1.1,0.0036804618819641,0,1,1.1,0,-0.003874776104593,1.0374444444444444
52,2020,AOK Bayern,2,3597890,1.1,1.001601709318858,Regional,3580074.0,1.1,-0.0049764334480237,0,2,1.1,0,0.0049750653918524,1.0530000000000002
53,2020,AOK Bayern,3,3589255,1.1,1.001601709318858,Regional,3597890.0,1.1,0.0024000177882036,0,3,1.1,0,-0.0032159652857536,1.063
54,2020,AOK Bayern,4,3601650,1.1,1.001601709318858,Regional,3589255.0,1.1,-0.0034533628844983,0,4,1.1,0,0.001139450007428,1.063
55,2021,AOK Bayern,1,3582726,1.1,1.001601709318858,Regional,3601650.0,1.1,0.0052542584648702,0,1,1.1,0,-0.0026442615508864,1.2098888888888888
56,2021,AOK Bayern,2,3580365,1.1,1.001601709318858,Regional,3582726.0,1.1,0.0006589954129899,0,2,1.1,0,0.004063425640768,1.2098888888888888
57,2021,AOK Bayern,3,3587292,1.1,1.001601709318858,Regional,3580365.0,1.1,-0.0019347189462526,0,3,1.1,0,-0.002010318026452,1.2131111111111113
58,2021,AOK Bayern,4,3604275,1.1,1.001601709318858,Regional,3587292.0,1.1,-0.0047342117675394,0,4,1.3,1,0.0012361635048733,1.233111111111111
59,2022,AOK Bayern,1,3592146,1.3,1.011747686846629,Regional,3604275.0,1.1,0.0033651705266662,1,1,1.3,0,-0.0017182346655963,1.2616666666666667
60,2022,AOK Bayern,2,3583910,1.3,1.011747686846629,Regional,3592146.0,1.3,0.0022927798591705,0,2,1.3,0,0.0033845071887443,1.2661111111111112
61,2022,AOK Bayern,3,3615556,1.3,1.011747686846629,Regional,3583910.0,1.3,-0.0088300208431573,0,3,1.3,0,0.0001147912561538,1.2524444444444445
62,2022,AOK Bayern,4,3645272,1.3,1.011747686846629,Regional,3615556.0,1.3,-0.0082189295367019,0,4,1.58,1,-0.0107510935199585,1.2524444444444445
63,2023,AOK Bayern,1,3641782,1.58,1.001601709318858,Regional,3645272.0,1.3,0.0009574045503325,1,1,1.58,0,-0.0026713793805141,1.4257777777777778
64,2023,AOK Bayern,2,3639455,1.58,1.001601709318858,Regional,3641782.0,1.58,0.0006389728984326,0,2,1.58,0,0.0026651068783105,1.4257777777777778
65,2023,AOK Bayern,3,3647092,1.58,1.001601709318858,Regional,3639455.0,1.58,-0.0020983911052616,0,3,1.58,0,0.001988696402075,1.4202222222222225
66,2023,AOK Bayern,4,3660945,1.58,1.001601709318858,Regional,3647092.0,1.58,-0.0037983686729043,0,4,1.58,0,-0.0012475431335736,1.42
67,2024,AOK Bayern,1,3648180,1.58,1.001601709318858,Regional,3660945.0,1.58,0.0034868046365077,0,1,1.58,0,-0.00174805219315,1.5867777777777774
68,2024,AOK Bayern,2,3639133,1.58,1.001601709318858,Regional,3648180.0,1.58,0.0024798666732452,0,2,1.58,0,0.0024674746802384,1.591111111111111
69,2024,AOK Bayern,3,3638656,1.58,1.001601709318858,Regional,3639133.0,1.58,0.0001310751764225,0,3,1.58,0,0.0016795437443481,1.7074444444444443
70,2024,AOK Bayern,4,3646148,1.58,1.001601709318858,Regional,3638656.0,1.58,-0.0020590020051359,0,4,2.69,1,0.0012267471871302,1.923
71,2025,AOK Bayern,1,3627408,2.69,0.9897709593613556,Regional,3646148.0,1.58,0.0051396706880795,1,1,,0,-0.0030731983563104,2.9512222222222224
72,2016,AOK Bremen/Bremerhaven,2,178754,1.1,1.076461845285246,Regional,177221.0,1.1,-0.0086502163964767,0,2,1.1,0,0.0087369654795005,0.9459403488370016
73,2016,AOK Bremen/Bremerhaven,3,179883,1.1,1.076461845285246,Regional,178754.0,1.1,-0.0063159425803058,0,3,1.1,0,0.0009318258069468,0.949273682170335
74,2016,AOK Bremen/Bremerhaven,4,182327,1.1,1.076461845285246,Regional,179883.0,1.1,-0.0135866090736756,0,4,1.1,0,-0.0017459803292043,0.949273682170335
75,2017,AOK Bremen/Bremerhaven,1,183684,1.1,1.043855536180048,Regional,182327.0,1.1,-0.0074426716832943,0,1,1.1,0,-0.0015215790162279,1.0064934006313513
76,2017,AOK Bremen/Bremerhaven,2,186278,1.1,1.043855536180048,Regional,183684.0,1.1,-0.0141220792230134,0,2,1.1,0,0.0100959456076598,1.014271178409129
77,2017,AOK Bremen/Bremerhaven,3,188350,1.1,1.043855536180048,Regional,186278.0,1.1,-0.0111231600081598,0,3,1.1,0,0.003234617855021,1.0209378450757955
78,2017,AOK Bremen/Bremerhaven,4,190074,1.1,1.043855536180048,Regional,188350.0,1.1,-0.0091531722856384,0,4,0.8,-1,,1.0209378450757955
79,2018,AOK Bremen/Bremerhaven,1,190815,0.8,0.9989532676171388,Regional,190074.0,1.1,-0.0038984816439912,0,1,0.8,0,-0.0028741237494499,1.028779757692238
80,2018,AOK Bremen/Bremerhaven,2,191891,0.8,0.9989532676171388,Regional,190815.0,0.8,-0.0056389696826769,0,2,0.8,0,0.0064098764917604,1.0265575354700158
81,2018,AOK Bremen/Bremerhaven,3,193015,0.8,0.9989532676171388,Regional,191891.0,0.8,-0.0058574920136952,0,3,0.8,0,-0.0016957418769413,1.0311130910255712
82,2018,AOK Bremen/Bremerhaven,4,193943,0.8,0.9989532676171388,Regional,193015.0,0.8,-0.0048079164831748,0,4,0.7,-1,,1.0311130910255712
83,2019,AOK Bremen/Bremerhaven,1,192874,0.7,0.9917818323311238,Regional,193943.0,0.8,0.0055119287625745,0,1,0.7,0,-0.0077143237128947,0.974777777777778
84,2019,AOK Bremen/Bremerhaven,2,194144,0.7,0.9917818323311238,Regional,192874.0,0.7,-0.0065846096415276,0,2,0.7,0,0.008675365470818,0.9773703703703704
85,2019,AOK Bremen/Bremerhaven,3,194649,0.7,0.9917818323311238,Regional,194144.0,0.7,-0.0026011620240646,0,3,0.7,0,-0.0021296422182218,0.9835555555555556
86,2019,AOK Bremen/Bremerhaven,4,195829,0.7,0.9917818323311238,Regional,194649.0,0.7,-0.0060621940004829,0,4,0.7,0,-0.0087474054984617,0.9835555555555556
87,2020,AOK Bremen/Bremerhaven,1,196381,0.7,0.9740616737524622,Regional,195829.0,0.7,-0.0028187857773874,0,1,0.7,0,-0.0029587050771214,1.0418888888888889
88,2020,AOK Bremen/Bremerhaven,2,197712,0.7,0.9740616737524622,Regional,196381.0,0.7,-0.0067776414215224,0,2,0.7,0,0.0094065103462433,1.0574444444444444
89,2020,AOK Bremen/Bremerhaven,3,198797,0.7,0.9740616737524622,Regional,197712.0,0.7,-0.0054877802055515,0,3,0.7,0,0.0020536990549841,1.0674444444444444
90,2020,AOK Bremen/Bremerhaven,4,198975,0.7,0.9740616737524622,Regional,198797.0,0.7,-0.0008953857452577,0,4,1.3,1,0.0163328603780378,1.0674444444444444
91,2021,AOK Bremen/Bremerhaven,1,199208,1.3,0.94,Regional,198975.0,0.7,-0.0011710013820831,1,1,1.3,0,0.0003684222764709,1.2076666666666669
92,2021,AOK Bremen/Bremerhaven,2,198518,1.3,0.94,Regional,199208.0,1.3,0.0034637163166137,0,2,1.3,0,0.003789884574366,1.2076666666666669
93,2021,AOK Bremen/Bremerhaven,3,198772,1.3,0.94,Regional,198518.0,1.3,-0.0012794809538681,0,3,1.3,0,-6.670265989976961e-05,1.210888888888889
94,2021,AOK Bremen/Bremerhaven,4,199929,1.3,0.94,Regional,198772.0,1.3,-0.0058207393395448,0,4,1.6,1,-0.0047499337446784,1.230888888888889
95,2022,AOK Bremen/Bremerhaven,1,199145,1.6,0.9253712577441786,Regional,199929.0,1.3,0.0039213920941934,1,1,1.6,0,-0.003222459283247,1.2583333333333333
96,2022,AOK Bremen/Bremerhaven,2,198802,1.6,0.9253712577441786,Regional,199145.0,1.6,0.0017223631022621,0,2,1.6,0,-0.014592240727888,1.2627777777777778
97,2022,AOK Bremen/Bremerhaven,3,200144,1.6,0.9253712577441786,Regional,198802.0,1.6,-0.0067504351062866,0,3,1.6,0,0.0034406821342263,1.249111111111111
98,2022,AOK Bremen/Bremerhaven,4,203635,1.6,0.9253712577441786,Regional,200144.0,1.6,-0.0174424414421616,0,4,1.6,0,-0.010801059143034,1.249111111111111
99,2023,AOK Bremen/Bremerhaven,1,204615,1.6,0.93,Regional,203635.0,1.6,-0.0048125322267783,0,1,1.6,0,-0.0015698961102327,1.4255555555555557
100,2023,AOK Bremen/Bremerhaven,2,204333,1.6,0.93,Regional,204615.0,1.6,0.0013781980793196,0,2,1.6,0,-0.0101981372598678,1.4255555555555557
101,2023,AOK Bremen/Bremerhaven,3,205235,1.6,0.93,Regional,204333.0,1.6,-0.0044143628293031,0,3,1.38,-1,,1.4200000000000002
102,2023,AOK Bremen/Bremerhaven,4,205839,1.38,0.93,Regional,205235.0,1.6,-0.00294296781738,0,4,1.38,0,-0.0151874841163097,1.4222222222222225
103,2024,AOK Bremen/Bremerhaven,1,206551,1.38,0.91,Regional,205839.0,1.38,-0.0034590140838227,0,1,1.38,0,-0.0005868283689076,1.589
104,2024,AOK Bremen/Bremerhaven,2,206413,1.38,0.91,Regional,206551.0,1.38,0.0006681158648469,0,2,1.38,0,0.0061016926864838,1.5933333333333335
105,2024,AOK Bremen/Bremerhaven,3,207042,1.38,0.91,Regional,206413.0,1.38,-0.0030472886882124,0,3,1.38,0,0.0014841277057717,1.709666666666667
106,2024,AOK Bremen/Bremerhaven,4,207767,1.38,0.91,Regional,207042.0,1.38,-0.0035017049680741,0,4,2.49,1,0.0051145468579863,1.9252222222222224
107,2025,AOK Bremen/Bremerhaven,1,207431,2.49,0.90024561192424,Regional,207767.0,1.38,0.0016171961861123,1,1,,0,0.0001761011471915,2.9534444444444445
108,2016,AOK Hessen,2,1178193,1.1,1.105691016005847,Regional,1171519.0,1.1,-0.0056968773020326,0,2,1.1,0,0.0068651410932893,0.9459403488370016
109,2016,AOK Hessen,3,1185118,1.1,1.105691016005847,Regional,1178193.0,1.1,-0.0058776448340806,0,3,1.1,0,0.0003284985295282,0.949273682170335
110,2016,AOK Hessen,4,1193804,1.1,1.105691016005847,Regional,1185118.0,1.1,-0.0073292279756108,0,4,1.1,0,0.0039007779627305,0.949273682170335
111,2017,AOK Hessen,1,1200715,1.1,1.072639149782933,Regional,1193804.0,1.1,-0.0057890575002261,0,1,1.1,0,-0.0012703771697025,1.0064934006313513
112,2017,AOK Hessen,2,1210682,1.1,1.072639149782933,Regional,1200715.0,1.1,-0.0083008873879313,0,2,1.1,0,0.0068285031590922,1.014271178409129
113,2017,AOK Hessen,3,1218602,1.1,1.072639149782933,Regional,1210682.0,1.1,-0.0065417673674837,0,3,1.1,0,0.0007190102323415,1.0209378450757955
114,2017,AOK Hessen,4,1230753,1.1,1.072639149782933,Regional,1218602.0,1.1,-0.0099712621512191,0,4,1.0,-1,,1.0209378450757955
115,2018,AOK Hessen,1,1232724,1.0,1.049678577221993,Regional,1230753.0,1.1,-0.0016014586192355,0,1,1.0,0,-0.0015661676488059,1.0265575354700156
116,2018,AOK Hessen,2,1237843,1.0,1.049678577221993,Regional,1232724.0,1.0,-0.0041525921455248,0,2,1.0,0,0.0048171628615372,1.0243353132477937
117,2018,AOK Hessen,3,1242871,1.0,1.049678577221993,Regional,1237843.0,1.0,-0.0040619044579966,0,3,1.0,0,-0.0007358174520739,1.0288908688033491
118,2018,AOK Hessen,4,1251739,1.0,1.049678577221993,Regional,1242871.0,1.0,-0.0071350928616083,0,4,0.9,-1,,1.0288908688033491
119,2019,AOK Hessen,1,1251770,0.9,1.039745835079701,Regional,1251739.0,1.0,-2.476554617216528e-05,0,1,0.9,0,-0.0021200815425192,0.9725555555555556
120,2019,AOK Hessen,2,1257232,0.9,1.039745835079701,Regional,1251770.0,0.9,-0.0043634213953042,0,2,0.9,0,0.0037228124203218,0.9751481481481482
121,2019,AOK Hessen,3,1256587,0.9,1.039745835079701,Regional,1257232.0,0.9,0.0005130318031994,0,3,0.9,0,-0.0017768894962609,0.9813333333333332
122,2019,AOK Hessen,4,1263980,0.9,1.039745835079701,Regional,1256587.0,0.9,-0.0058833968519489,0,4,0.9,0,0.005401632666498,0.9813333333333332
123,2020,AOK Hessen,1,1262885,0.9,1.017926445759389,Regional,1263980.0,0.9,0.0008663111758097,0,1,0.9,0,-0.0034563876879499,1.0396666666666663
124,2020,AOK Hessen,2,1264998,0.9,1.017926445759389,Regional,1262885.0,0.9,-0.001673153137459,0,2,0.9,0,0.0043058463002516,1.0552222222222225
125,2020,AOK Hessen,3,1266103,0.9,1.017926445759389,Regional,1264998.0,0.9,-0.0008735191676192,0,3,0.9,0,-0.0007943195264688,1.065222222222222
126,2020,AOK Hessen,4,1270348,0.9,1.017926445759389,Regional,1266103.0,0.9,-0.0033528077889397,0,4,1.3,1,0.0106679211672672,1.065222222222222
127,2021,AOK Hessen,1,1264700,1.3,1.0,Regional,1270348.0,0.9,0.0044460258133991,1,1,1.3,0,-0.0035356133955719,1.2076666666666669
128,2021,AOK Hessen,2,1259650,1.3,1.0,Regional,1264700.0,1.3,0.0039930418281015,0,2,1.3,0,0.0060626355509544,1.2076666666666669
129,2021,AOK Hessen,3,1260269,1.3,1.0,Regional,1259650.0,1.3,-0.0004914063430317,0,3,1.3,0,0.001805594752316,1.210888888888889
130,2021,AOK Hessen,4,1262679,1.3,1.0,Regional,1260269.0,1.3,-0.0019122901539274,0,4,1.5,1,0.0065370922322464,1.230888888888889
131,2022,AOK Hessen,1,1257753,1.5,0.9939692382615496,Regional,1262679.0,1.3,0.0039012290534648,1,1,1.5,0,-0.0056762065319315,1.2594444444444444
132,2022,AOK Hessen,2,1255946,1.5,0.9939692382615496,Regional,1257753.0,1.5,0.0014366890796523,0,2,1.5,0,0.0012059892222467,1.2638888888888888
133,2022,AOK Hessen,3,1264463,1.5,0.9939692382615496,Regional,1255946.0,1.5,-0.0067813425099486,0,3,1.5,0,-0.0044471757865515,1.250222222222222
134,2022,AOK Hessen,4,1276028,1.5,0.9939692382615496,Regional,1264463.0,1.5,-0.009146175095673,0,4,1.6,1,-0.0117077851504943,1.250222222222222
135,2023,AOK Hessen,1,1277479,1.6,0.99,Regional,1276028.0,1.5,-0.0011371223828944,1,1,1.6,0,-0.0052526833548901,1.4255555555555557
136,2023,AOK Hessen,2,1275005,1.6,0.99,Regional,1277479.0,1.6,0.0019366267468976,0,2,1.6,0,-0.0006003965033979,1.4255555555555557
137,2023,AOK Hessen,3,1276517,1.6,0.99,Regional,1275005.0,1.6,-0.0011858777024403,0,3,1.6,0,-0.0011890654257874,1.4200000000000002
138,2023,AOK Hessen,4,1280172,1.6,0.99,Regional,1276517.0,1.6,-0.0028632599487511,0,4,1.6,0,-0.0107033538586091,1.4197777777777778
139,2024,AOK Hessen,1,1280207,1.6,0.98,Regional,1280172.0,1.6,-2.734007617726368e-05,0,1,1.6,0,-0.0022440103902949,1.5865555555555555
140,2024,AOK Hessen,2,1278624,1.6,0.98,Regional,1280207.0,1.6,0.0012365187817282,0,2,1.6,0,-0.000306603499537,1.590888888888889
141,2024,AOK Hessen,3,1280693,1.6,0.98,Regional,1278624.0,1.6,-0.0016181457566884,0,3,1.6,0,-0.0002133178989776,1.7072222222222222
142,2024,AOK Hessen,4,1284768,1.6,0.98,Regional,1280693.0,1.6,-0.0031818710651186,0,4,2.49,1,-0.0089641929280382,1.922777777777778
143,2025,AOK Hessen,1,1281555,2.49,0.9736729678126018,Regional,1284768.0,1.6,0.0025008406186953,1,1,,0,-0.0029941730843526,2.9534444444444445
144,2016,AOK NORDWEST,2,2070675,1.1,1.040653368789672,Regional,2058879.0,1.1,-0.0057293313497296,0,2,1.1,0,0.0061888868756704,0.9459403488370016
145,2016,AOK NORDWEST,3,2079550,1.1,1.040653368789672,Regional,2070675.0,1.1,-0.0042860419911381,0,3,1.1,0,0.0012091444732236,0.949273682170335
146,2016,AOK NORDWEST,4,2097663,1.1,1.040653368789672,Regional,2079550.0,1.1,-0.0087100574643552,0,4,1.1,0,0.0012573642522466,0.949273682170335
147,2017,AOK NORDWEST,1,2106520,1.1,1.05961276897341,Regional,2097663.0,1.1,-0.0042223178842359,0,1,1.1,0,-0.0006057170811106,1.0064934006313513
148,2017,AOK NORDWEST,2,2121584,1.1,1.05961276897341,Regional,2106520.0,1.1,-0.0071511307749273,0,2,1.1,0,0.0060788113459437,1.014271178409129
149,2017,AOK NORDWEST,3,2134489,1.1,1.05961276897341,Regional,2121584.0,1.1,-0.0060827193266917,0,3,1.1,0,0.0013435592785256,1.0209378450757955
150,2017,AOK NORDWEST,4,2154463,1.1,1.05961276897341,Regional,2134489.0,1.1,-0.0093577432350318,0,4,0.9,-1,,1.0209378450757955
151,2018,AOK NORDWEST,1,2151377,0.9,1.035094658471105,Regional,2154463.0,1.1,0.001432375492176,0,1,0.9,0,-0.0013715960018147,1.0276686465811269
152,2018,AOK NORDWEST,2,2155738,0.9,1.035094658471105,Regional,2151377.0,0.9,-0.0020270738229515,0,2,0.9,0,0.0040085198238625,1.0254464243589043
153,2018,AOK NORDWEST,3,2161781,0.9,1.035094658471105,Regional,2155738.0,0.9,-0.0028032163463278,0,3,0.9,0,-0.0007856176496117,1.0300019799144602
154,2018,AOK NORDWEST,4,2173437,0.9,1.035094658471105,Regional,2161781.0,0.9,-0.0053918505158478,0,4,0.9,0,0.0062187201526817,1.0300019799144602
155,2019,AOK NORDWEST,1,2179479,0.9,1.045651431171383,Regional,2173437.0,0.9,-0.0027799287487974,0,1,0.9,0,-0.0008512829383254,0.9725555555555556
156,2019,AOK NORDWEST,2,2172523,0.9,1.045651431171383,Regional,2179479.0,0.9,0.0031915884484319,0,2,0.9,0,0.0020880366231425,0.9751481481481482
157,2019,AOK NORDWEST,3,2161273,0.9,1.045651431171383,Regional,2172523.0,0.9,0.0051783111156935,0,3,0.9,0,-0.0015066722283729,0.9813333333333332
158,2019,AOK NORDWEST,4,2176000,0.9,1.045651431171383,Regional,2161273.0,0.9,-0.0068140396886464,0,4,0.9,0,0.0033667811889497,0.9813333333333332
159,2020,AOK NORDWEST,1,2172619,0.9,1.038185935632214,Regional,2176000.0,0.9,0.0015537683823529,0,1,0.9,0,-0.0005349240195712,1.0396666666666663
160,2020,AOK NORDWEST,2,2172907,0.9,1.038185935632214,Regional,2172619.0,0.9,-0.0001325589070149,0,2,0.9,0,0.002580420401583,1.0552222222222225
161,2020,AOK NORDWEST,3,2173274,0.9,1.038185935632214,Regional,2172907.0,0.9,-0.0001688981626917,0,3,0.9,0,-0.0001615546291693,1.065222222222222
162,2020,AOK NORDWEST,4,2180446,0.9,1.038185935632214,Regional,2173274.0,0.9,-0.0033000900944841,0,4,1.3,1,0.0085017892323085,1.065222222222222
