Year,Provider,Quarter,Members,ACR,RiskFactor,Regionality,Members_Lag,Rate_Lag,ChurnRate,Treatment
2020,AOK Baden-Württemberg,2,3436444,0.9,0.9668224703195901,Regional,3424798.0,0.9,-0.003400492525398578,0
2020,AOK Baden-Württemberg,3,3441751,0.9,0.9668224703195901,Regional,3436444.0,0.9,-0.0015443289633120748,0
2020,AOK Baden-Württemberg,4,3453794,0.9,0.9668224703195901,Regional,3441751.0,0.9,-0.003499091015009511,0
2021,AOK Baden-Württemberg,1,3450692,1.1,0.95,Regional,3453794.0,0.9,0.0008981427381019251,1
2021,AOK Baden-Württemberg,2,3441942,1.1,0.95,Regional,3450692.0,1.1,0.002535723269419583,0
2021,AOK Baden-Württemberg,3,3441518,1.1,0.95,Regional,3441942.0,1.1,0.00012318627100630982,0
2021,AOK Baden-Württemberg,4,3456275,1.1,0.95,Regional,3441518.0,1.1,-0.004287933406130667,0
2022,AOK Baden-Württemberg,1,3453151,1.3,0.9368486550601546,Regional,3456275.0,1.1,0.0009038632631952029,1
2022,AOK Baden-Württemberg,2,3447175,1.3,0.9368486550601546,Regional,3453151.0,1.3,0.0017305933044920421,0
2022,AOK Baden-Württemberg,3,3474113,1.3,0.9368486550601546,Regional,3447175.0,1.3,-0.007814514783844742,0
2022,AOK Baden-Württemberg,4,3495954,1.3,0.9368486550601546,Regional,3474113.0,1.3,-0.006286784569183559,0
2023,AOK Baden-Württemberg,1,3510507,1.6,0.93,Regional,3495954.0,1.3,-0.004162812210915819,1
2023,AOK Baden-Württemberg,2,3502213,1.6,0.93,Regional,3510507.0,1.6,0.0023626216953847408,0
2023,AOK Baden-Württemberg,3,3511168,1.6,0.93,Regional,3502213.0,1.6,-0.002556954702640873,0
2023,AOK Baden-Württemberg,4,3521081,1.6,0.93,Regional,3511168.0,1.6,-0.0028232770405745324,0
2024,AOK Baden-Württemberg,1,3523299,1.6,0.92,Regional,3521081.0,1.6,-0.000629920186442743,0
2024,AOK Baden-Württemberg,2,3518303,1.6,0.92,Regional,3523299.0,1.6,0.001417989219762501,0
2024,AOK Baden-Württemberg,3,3527235,1.6,0.92,Regional,3518303.0,1.6,-0.002538723924573864,0
2024,AOK Baden-Württemberg,4,3537563,1.6,0.92,Regional,3527235.0,1.6,-0.002928072555415219,0
2025,AOK Baden-Württemberg,1,3539685,2.6,0.9060689509330876,Regional,3537563.0,1.6,-0.0005998479744389005,1
2016,AOK Bayern,2,3395941,1.1,1.042804999786472,Regional,3384168.0,1.1,-0.003478846203852764,0
2016,AOK Bayern,3,3423109,1.1,1.042804999786472,Regional,3395941.0,1.1,-0.008000138989458297,0
2016,AOK Bayern,4,3457661,1.1,1.042804999786472,Regional,3423109.0,1.1,-0.010093748110270518,0
2017,AOK Bayern,1,3458155,1.1,1.015120536013137,Regional,3457661.0,1.1,-0.0001428711490224172,0
2017,AOK Bayern,2,3496932,1.1,1.015120536013137,Regional,3458155.0,1.1,-0.011213204729111333,0
2017,AOK Bayern,3,3520626,1.1,1.015120536013137,Regional,3496932.0,1.1,-0.0067756536300963245,0
2017,AOK Bayern,4,3557147,1.1,1.015120536013137,Regional,3520626.0,1.1,-0.010373439269039086,0
2018,AOK Bayern,1,3553723,1.1,0.9918025971217022,Regional,3557147.0,1.1,0.0009625691600600144,0
2018,AOK Bayern,2,3562991,1.1,0.9918025971217022,Regional,3553723.0,1.1,-0.00260796916360673,0
2018,AOK Bayern,3,3579747,1.1,0.9918025971217022,Regional,3562991.0,1.1,-0.00470279043646195,0
2018,AOK Bayern,4,3595147,1.1,0.9918025971217022,Regional,3579747.0,1.1,-0.004301980000262588,0
2019,AOK Bayern,1,3616552,1.1,1.005776664383717,Regional,3595147.0,1.1,-0.0059538594666643675,0
2019,AOK Bayern,2,3603058,1.1,1.005776664383717,Regional,3616552.0,1.1,0.0037311782050970096,0
2019,AOK Bayern,3,3571817,1.1,1.005776664383717,Regional,3603058.0,1.1,0.008670690285862731,0
2019,AOK Bayern,4,3593299,1.1,1.005776664383717,Regional,3571817.0,1.1,-0.006014305884092046,0
2020,AOK Bayern,1,3580074,1.1,1.001601709318858,Regional,3593299.0,1.1,0.0036804618819641782,0
2020,AOK Bayern,2,3597890,1.1,1.001601709318858,Regional,3580074.0,1.1,-0.0049764334480237,0
2020,AOK Bayern,3,3589255,1.1,1.001601709318858,Regional,3597890.0,1.1,0.0024000177882036416,0
2020,AOK Bayern,4,3601650,1.1,1.001601709318858,Regional,3589255.0,1.1,-0.003453362884498315,0
2021,AOK Bayern,1,3582726,1.1,1.001601709318858,Regional,3601650.0,1.1,0.005254258464870268,0
2021,AOK Bayern,2,3580365,1.1,1.001601709318858,Regional,3582726.0,1.1,0.000658995412989997,0
2021,AOK Bayern,3,3587292,1.1,1.001601709318858,Regional,3580365.0,1.1,-0.0019347189462526864,0
2021,AOK Bayern,4,3604275,1.1,1.001601709318858,Regional,3587292.0,1.1,-0.004734211767539414,0
2022,AOK Bayern,1,3592146,1.3,1.011747686846629,Regional,3604275.0,1.1,0.0033651705266662503,1
2022,AOK Bayern,2,3583910,1.3,1.011747686846629,Regional,3592146.0,1.3,0.0022927798591705346,0
2022,AOK Bayern,3,3615556,1.3,1.011747686846629,Regional,3583910.0,1.3,-0.008830020843157333,0
2022,AOK Bayern,4,3645272,1.3,1.011747686846629,Regional,3615556.0,1.3,-0.008218929536701962,0
2023,AOK Bayern,1,3641782,1.58,1.001601709318858,Regional,3645272.0,1.3,0.0009574045503325952,1
2023,AOK Bayern,2,3639455,1.58,1.001601709318858,Regional,3641782.0,1.58,0.0006389728984326904,0
2023,AOK Bayern,3,3647092,1.58,1.001601709318858,Regional,3639455.0,1.58,-0.0020983911052616395,0
2023,AOK Bayern,4,3660945,1.58,1.001601709318858,Regional,3647092.0,1.58,-0.0037983686729043302,0
2024,AOK Bayern,1,3648180,1.58,1.001601709318858,Regional,3660945.0,1.58,0.003486804636507787,0
2024,AOK Bayern,2,3639133,1.58,1.001601709318858,Regional,3648180.0,1.58,0.0024798666732452892,0
2024,AOK Bayern,3,3638656,1.58,1.001601709318858,Regional,3639133.0,1.58,0.00013107517642251603,0
2024,AOK Bayern,4,3646148,1.58,1.001601709318858,Regional,3638656.0,1.58,-0.0020590020051359623,0
2025,AOK Bayern,1,3627408,2.69,0.9897709593613557,Regional,3646148.0,1.58,0.0051396706880795845,1
2016,AOK Bremen/Bremerhaven,2,178754,1.1,1.076461845285246,Regional,177221.0,1.1,-0.008650216396476715,0
2016,AOK Bremen/Bremerhaven,3,179883,1.1,1.076461845285246,Regional,178754.0,1.1,-0.006315942580305895,0
2016,AOK Bremen/Bremerhaven,4,182327,1.1,1.076461845285246,Regional,179883.0,1.1,-0.013586609073675667,0
2017,AOK Bremen/Bremerhaven,1,183684,1.1,1.043855536180048,Regional,182327.0,1.1,-0.007442671683294301,0
2017,AOK Bremen/Bremerhaven,2,186278,1.1,1.043855536180048,Regional,183684.0,1.1,-0.014122079223013437,0
2017,AOK Bremen/Bremerhaven,3,188350,1.1,1.043855536180048,Regional,186278.0,1.1,-0.011123160008159848,0
2017,AOK Bremen/Bremerhaven,4,190074,1.1,1.043855536180048,Regional,188350.0,1.1,-0.00915317228563844,0
2018,AOK Bremen/Bremerhaven,1,190815,0.8,0.9989532676171388,Regional,190074.0,1.1,-0.0038984816439912875,0
2018,AOK Bremen/Bremerhaven,2,191891,0.8,0.9989532676171388,Regional,190815.0,0.8,-0.005638969682676938,0
2018,AOK Bremen/Bremerhaven,3,193015,0.8,0.9989532676171388,Regional,191891.0,0.8,-0.005857492013695275,0
2018,AOK Bremen/Bremerhaven,4,193943,0.8,0.9989532676171388,Regional,193015.0,0.8,-0.004807916483174883,0
2019,AOK Bremen/Bremerhaven,1,192874,0.7,0.9917818323311238,Regional,193943.0,0.8,0.0055119287625745705,0
2019,AOK Bremen/Bremerhaven,2,194144,0.7,0.9917818323311238,Regional,192874.0,0.7,-0.00658460964152763,0
2019,AOK Bremen/Bremerhaven,3,194649,0.7,0.9917818323311238,Regional,194144.0,0.7,-0.002601162024064612,0
2019,AOK Bremen/Bremerhaven,4,195829,0.7,0.9917818323311238,Regional,194649.0,0.7,-0.006062194000482921,0
2020,AOK Bremen/Bremerhaven,1,196381,0.7,0.9740616737524622,Regional,195829.0,0.7,-0.0028187857773874147,0
2020,AOK Bremen/Bremerhaven,2,197712,0.7,0.9740616737524622,Regional,196381.0,0.7,-0.006777641421522449,0
2020,AOK Bremen/Bremerhaven,3,198797,0.7,0.9740616737524622,Regional,197712.0,0.7,-0.005487780205551509,0
2020,AOK Bremen/Bremerhaven,4,198975,0.7,0.9740616737524622,Regional,198797.0,0.7,-0.0008953857452577252,0
2021,AOK Bremen/Bremerhaven,1,199208,1.3,0.94,Regional,198975.0,0.7,-0.0011710013820831764,1
2021,AOK Bremen/Bremerhaven,2,198518,1.3,0.94,Regional,199208.0,1.3,0.0034637163166137907,0
2021,AOK Bremen/Bremerhaven,3,198772,1.3,0.94,Regional,198518.0,1.3,-0.001279480953868163,0
2021,AOK Bremen/Bremerhaven,4,199929,1.3,0.94,Regional,198772.0,1.3,-0.005820739339544805,0
2022,AOK Bremen/Bremerhaven,1,199145,1.6,0.9253712577441786,Regional,199929.0,1.3,0.003921392094193439,1
2022,AOK Bremen/Bremerhaven,2,198802,1.6,0.9253712577441786,Regional,199145.0,1.6,0.0017223631022621707,0
2022,AOK Bremen/Bremerhaven,3,200144,1.6,0.9253712577441786,Regional,198802.0,1.6,-0.006750435106286657,0
2022,AOK Bremen/Bremerhaven,4,203635,1.6,0.9253712577441786,Regional,200144.0,1.6,-0.017442441442161644,0
2023,AOK Bremen/Bremerhaven,1,204615,1.6,0.93,Regional,203635.0,1.6,-0.004812532226778304,0
2023,AOK Bremen/Bremerhaven,2,204333,1.6,0.93,Regional,204615.0,1.6,0.001378198079319698,0
2023,AOK Bremen/Bremerhaven,3,205235,1.6,0.93,Regional,204333.0,1.6,-0.004414362829303148,0
2023,AOK Bremen/Bremerhaven,4,205839,1.38,0.93,Regional,205235.0,1.6,-0.0029429678173800767,0
2024,AOK Bremen/Bremerhaven,1,206551,1.38,0.91,Regional,205839.0,1.38,-0.0034590140838227936,0
2024,AOK Bremen/Bremerhaven,2,206413,1.38,0.91,Regional,206551.0,1.38,0.0006681158648469386,0
2024,AOK Bremen/Bremerhaven,3,207042,1.38,0.91,Regional,206413.0,1.38,-0.003047288688212467,0
2024,AOK Bremen/Bremerhaven,4,207767,1.38,0.91,Regional,207042.0,1.38,-0.0035017049680741105,0
2025,AOK Bremen/Bremerhaven,1,207431,2.49,0.90024561192424,Regional,207767.0,1.38,0.0016171961861123278,1
2016,AOK Hessen,2,1178193,1.1,1.105691016005847,Regional,1171519.0,1.1,-0.0056968773020326605,0
2016,AOK Hessen,3,1185118,1.1,1.105691016005847,Regional,1178193.0,1.1,-0.005877644834080664,0
2016,AOK Hessen,4,1193804,1.1,1.105691016005847,Regional,1185118.0,1.1,-0.007329227975610867,0
2017,AOK Hessen,1,1200715,1.1,1.072639149782933,Regional,1193804.0,1.1,-0.005789057500226168,0
2017,AOK Hessen,2,1210682,1.1,1.072639149782933,Regional,1200715.0,1.1,-0.008300887387931357,0
2017,AOK Hessen,3,1218602,1.1,1.072639149782933,Regional,1210682.0,1.1,-0.006541767367483782,0
2017,AOK Hessen,4,1230753,1.1,1.072639149782933,Regional,1218602.0,1.1,-0.009971262151219185,0
2018,AOK Hessen,1,1232724,1.0,1.049678577221993,Regional,1230753.0,1.1,-0.0016014586192355411,0
2018,AOK Hessen,2,1237843,1.0,1.049678577221993,Regional,1232724.0,1.0,-0.00415259214552487,0
2018,AOK Hessen,3,1242871,1.0,1.049678577221993,Regional,1237843.0,1.0,-0.0040619044579966925,0
2018,AOK Hessen,4,1251739,1.0,1.049678577221993,Regional,1242871.0,1.0,-0.007135092861608325,0
2019,AOK Hessen,1,1251770,0.9,1.039745835079701,Regional,1251739.0,1.0,-2.4765546172165282e-05,0
2019,AOK Hessen,2,1257232,0.9,1.039745835079701,Regional,1251770.0,0.9,-0.0043634213953042495,0
2019,AOK Hessen,3,1256587,0.9,1.039745835079701,Regional,1257232.0,0.9,0.0005130318031994095,0
2019,AOK Hessen,4,1263980,0.9,1.039745835079701,Regional,1256587.0,0.9,-0.00588339685194897,0
2020,AOK Hessen,1,1262885,0.9,1.017926445759389,Regional,1263980.0,0.9,0.0008663111758097439,0
2020,AOK Hessen,2,1264998,0.9,1.017926445759389,Regional,1262885.0,0.9,-0.0016731531374590718,0
2020,AOK Hessen,3,1266103,0.9,1.017926445759389,Regional,1264998.0,0.9,-0.0008735191676192373,0
2020,AOK Hessen,4,1270348,0.9,1.017926445759389,Regional,1266103.0,0.9,-0.0033528077889397622,0
2021,AOK Hessen,1,1264700,1.3,1.0,Regional,1270348.0,0.9,0.004446025813399163,1
2021,AOK Hessen,2,1259650,1.3,1.0,Regional,1264700.0,1.3,0.003993041828101526,0
2021,AOK Hessen,3,1260269,1.3,1.0,Regional,1259650.0,1.3,-0.0004914063430317946,0
2021,AOK Hessen,4,1262679,1.3,1.0,Regional,1260269.0,1.3,-0.001912290153927455,0
2022,AOK Hessen,1,1257753,1.5,0.9939692382615497,Regional,1262679.0,1.3,0.003901229053464895,1
2022,AOK Hessen,2,1255946,1.5,0.9939692382615497,Regional,1257753.0,1.5,0.0014366890796523642,0
2022,AOK Hessen,3,1264463,1.5,0.9939692382615497,Regional,1255946.0,1.5,-0.006781342509948676,0
2022,AOK Hessen,4,1276028,1.5,0.9939692382615497,Regional,1264463.0,1.5,-0.009146175095673025,0
2023,AOK Hessen,1,1277479,1.6,0.99,Regional,1276028.0,1.5,-0.0011371223828944193,1
2023,AOK Hessen,2,1275005,1.6,0.99,Regional,1277479.0,1.6,0.0019366267468976007,0
2023,AOK Hessen,3,1276517,1.6,0.99,Regional,1275005.0,1.6,-0.0011858777024403827,0
2023,AOK Hessen,4,1280172,1.6,0.99,Regional,1276517.0,1.6,-0.002863259948751172,0
2024,AOK Hessen,1,1280207,1.6,0.98,Regional,1280172.0,1.6,-2.734007617726368e-05,0
2024,AOK Hessen,2,1278624,1.6,0.98,Regional,1280207.0,1.6,0.0012365187817282674,0
2024,AOK Hessen,3,1280693,1.6,0.98,Regional,1278624.0,1.6,-0.00161814575668844,0
2024,AOK Hessen,4,1284768,1.6,0.98,Regional,1280693.0,1.6,-0.0031818710651186507,0
2025,AOK Hessen,1,1281555,2.49,0.9736729678126018,Regional,1284768.0,1.6,0.00250084061869536,1
2016,AOK NORDWEST,2,2070675,1.1,1.040653368789672,Regional,2058879.0,1.1,-0.005729331349729635,0
2016,AOK NORDWEST,3,2079550,1.1,1.040653368789672,Regional,2070675.0,1.1,-0.004286041991138155,0
2016,AOK NORDWEST,4,2097663,1.1,1.040653368789672,Regional,2079550.0,1.1,-0.00871005746435527,0
2017,AOK NORDWEST,1,2106520,1.1,1.05961276897341,Regional,2097663.0,1.1,-0.004222317884235933,0
2017,AOK NORDWEST,2,2121584,1.1,1.05961276897341,Regional,2106520.0,1.1,-0.007151130774927368,0
2017,AOK NORDWEST,3,2134489,1.1,1.05961276897341,Regional,2121584.0,1.1,-0.006082719326691755,0
2017,AOK NORDWEST,4,2154463,1.1,1.05961276897341,Regional,2134489.0,1.1,-0.009357743235031898,0
2018,AOK NORDWEST,1,2151377,0.9,1.035094658471105,Regional,2154463.0,1.1,0.0014323754921760086,0
2018,AOK NORDWEST,2,2155738,0.9,1.035094658471105,Regional,2151377.0,0.9,-0.0020270738229515328,0
2018,AOK NORDWEST,3,2161781,0.9,1.035094658471105,Regional,2155738.0,0.9,-0.0028032163463278005,0
2018,AOK NORDWEST,4,2173437,0.9,1.035094658471105,Regional,2161781.0,0.9,-0.0053918505158478125,0
2019,AOK NORDWEST,1,2179479,0.9,1.045651431171383,Regional,2173437.0,0.9,-0.0027799287487974117,0
2019,AOK NORDWEST,2,2172523,0.9,1.045651431171383,Regional,2179479.0,0.9,0.0031915884484319417,0
2019,AOK NORDWEST,3,2161273,0.9,1.045651431171383,Regional,2172523.0,0.9,0.005178311115693597,0
2019,AOK NORDWEST,4,2176000,0.9,1.045651431171383,Regional,2161273.0,0.9,-0.006814039688646459,0
2020,AOK NORDWEST,1,2172619,0.9,1.038185935632214,Regional,2176000.0,0.9,0.0015537683823529413,0
2020,AOK NORDWEST,2,2172907,0.9,1.038185935632214,Regional,2172619.0,0.9,-0.00013255890701498974,0
2020,AOK NORDWEST,3,2173274,0.9,1.038185935632214,Regional,2172907.0,0.9,-0.00016889816269173048,0
2020,AOK NORDWEST,4,2180446,0.9,1.038185935632214,Regional,2173274.0,0.9,-0.0033000900944841747,0
2021,AOK NORDWEST,1,2174680,1.3,1.04,Regional,2180446.0,0.9,0.0026444131154818784,1
2021,AOK NORDWEST,2,2175254,1.3,1.04,Regional,2174680.0,1.3,-0.000263946879540898,0
2021,AOK NORDWEST,3,2178976,1.3,1.04,Regional,2175254.0,1.3,-0.0017110645469448624,0
2021,AOK NORDWEST,4,2189567,1.3,1.04,Regional,2178976.0,1.3,-0.004860539996769124,0
2022,AOK NORDWEST,1,2184637,1.7,1.042417432381955,Regional,2189567.0,1.3,0.0022515867292482944,1
2022,AOK NORDWEST,2,2183449,1.7,1.042417432381955,Regional,2184637.0,1.7,0.0005437974363704359,0
2022,AOK NORDWEST,3,2192135,1.7,1.042417432381955,Regional,2183449.0,1.7,-0.003978109861966091,0
2022,AOK NORDWEST,4,2212035,1.7,1.042417432381955,Regional,2192135.0,1.7,-0.009077908066793332,0
2023,AOK NORDWEST,1,2214070,1.89,1.03,Regional,2212035.0,1.7,-0.0009199673603717843,1
2023,AOK NORDWEST,2,2211458,1.89,1.03,Regional,2214070.0,1.89,0.0011797278315500413,0
2023,AOK NORDWEST,3,2212956,1.89,1.03,Regional,2211458.0,1.89,-0.0006773811666330538,0
2023,AOK NORDWEST,4,2223150,1.89,1.03,Regional,2212956.0,1.89,-0.00460650821796728,0
2024,AOK NORDWEST,1,2217894,1.89,1.02,Regional,2223150.0,1.89,0.002364212941097092,0
2024,AOK NORDWEST,2,2220857,1.89,1.02,Regional,2217894.0,1.89,-0.001335952033776186,0
2024,AOK NORDWEST,3,2222656,1.89,1.02,Regional,2220857.0,1.89,-0.0008100476527754826,0
2024,AOK NORDWEST,4,2230644,1.89,1.02,Regional,2222656.0,1.89,-0.003593898471018457,0
2025,AOK NORDWEST,1,2224273,2.79,1.011771642118803,Regional,2230644.0,1.89,0.0028561258542376105,1
2016,AOK Niedersachsen,2,1888691,0.8,1.063945175749392,Regional,1863984.0,0.8,-0.013254942102507317,0
2016,AOK Niedersachsen,3,1906807,0.8,1.063945175749392,Regional,1888691.0,0.8,-0.009591828414494484,0
2016,AOK Niedersachsen,4,1936325,0.8,1.063945175749392,Regional,1906807.0,0.8,-0.015480329157591722,0
2017,AOK Niedersachsen,1,1944730,0.8,1.046266756466885,Regional,1936325.0,0.8,-0.004340696938788685,0
2017,AOK Niedersachsen,2,1969747,0.8,1.046266756466885,Regional,1944730.0,0.8,-0.012863996544507464,0
2017,AOK Niedersachsen,3,1995911,0.8,1.046266756466885,Regional,1969747.0,0.8,-0.013282924152188073,0
2017,AOK Niedersachsen,4,2028673,0.8,1.046266756466885,Regional,1995911.0,0.8,-0.016414559567034803,0
2018,AOK Niedersachsen,1,2036313,0.8,1.018048633540471,Regional,2028673.0,0.8,-0.003766008617455844,0
2018,AOK Niedersachsen,2,2056944,0.8,1.018048633540471,Regional,2036313.0,0.8,-0.010131546574617949,0
2018,AOK Niedersachsen,3,2078876,0.8,1.018048633540471,Regional,2056944.0,0.8,-0.010662419589449202,0
2018,AOK Niedersachsen,4,2106870,0.8,1.018048633540471,Regional,2078876.0,0.8,-0.013465930627896998,0
2019,AOK Niedersachsen,1,2110247,0.8,1.013637295802248,Regional,2106870.0,0.8,-0.0016028516234983649,0
2019,AOK Niedersachsen,2,2129487,0.8,1.013637295802248,Regional,2110247.0,0.8,-0.009117416112900527,0
2019,AOK Niedersachsen,3,2139808,0.8,1.013637295802248,Regional,2129487.0,0.8,-0.004846707211642992,0
2019,AOK Niedersachsen,4,2162597,0.8,1.013637295802248,Regional,2139808.0,0.8,-0.01065002093645785,0
2020,AOK Niedersachsen,1,2169859,0.8,0.9966027042431996,Regional,2162597.0,0.8,-0.003357999664292515,0
2020,AOK Niedersachsen,2,2176463,0.8,0.9966027042431996,Regional,2169859.0,0.8,-0.003043515730745638,0
2020,AOK Niedersachsen,3,2186245,0.8,0.9966027042431996,Regional,2176463.0,0.8,-0.004494448102265005,0
2020,AOK Niedersachsen,4,2197714,0.8,0.9966027042431996,Regional,2186245.0,0.8,-0.005245981122884214,0
2021,AOK Niedersachsen,1,2195736,1.3,0.99,Regional,2197714.0,0.8,0.0009000261180481172,1
2021,AOK Niedersachsen,2,2200677,1.3,0.99,Regional,2195736.0,1.3,-0.0022502705243253288,0
2021,AOK Niedersachsen,3,2208038,1.3,0.99,Regional,2200677.0,1.3,-0.0033448797801767364,0
2021,AOK Niedersachsen,4,2222917,1.3,0.99,Regional,2208038.0,1.3,-0.006738561564610754,0
2022,AOK Niedersachsen,1,2217425,1.3,0.9821441344481462,Regional,2222917.0,1.3,0.0024706275582938994,0
2022,AOK Niedersachsen,2,2226270,1.3,0.9821441344481462,Regional,2217425.0,1.3,-0.003988860953583548,0
2022,AOK Niedersachsen,3,2245540,1.3,0.9821441344481462,Regional,2226270.0,1.3,-0.008655733581281695,0
2022,AOK Niedersachsen,4,2273441,1.3,0.9821441344481462,Regional,2245540.0,1.3,-0.012425073701648602,0
2023,AOK Niedersachsen,1,2277487,1.5,0.97,Regional,2273441.0,1.3,-0.0017796811089445471,1
2023,AOK Niedersachsen,2,2280121,1.5,0.97,Regional,2277487.0,1.5,-0.0011565378858364504,0
2023,AOK Niedersachsen,3,2287800,1.5,0.97,Regional,2280121.0,1.5,-0.0033678037262057582,0
2023,AOK Niedersachsen,4,2304556,1.5,0.97,Regional,2287800.0,1.5,-0.007324066789054988,0
2024,AOK Niedersachsen,1,2301452,1.5,0.96,Regional,2304556.0,1.5,0.0013468971897406701,0
2024,AOK Niedersachsen,2,2308466,1.5,0.96,Regional,2301452.0,1.5,-0.0030476412282333066,0
2024,AOK Niedersachsen,3,2313738,1.5,0.96,Regional,2308466.0,1.5,-0.0022837676621617993,0
2024,AOK Niedersachsen,4,2329966,1.5,0.96,Regional,2313738.0,1.5,-0.007013758688321668,0
2025,AOK Niedersachsen,1,2324317,2.7,0.9383369421761234,Regional,2329966.0,1.5,0.0024244988982671852,1
2016,AOK Nordost,2,1458298,0.9,1.369873653319534,Regional,1448653.0,0.9,-0.00665790910590735,0
2016,AOK Nordost,3,1463993,0.9,1.369873653319534,Regional,1458298.0,0.9,-0.0039052374754679773,0
2016,AOK Nordost,4,1463824,0.9,1.369873653319534,Regional,1463993.0,0.9,0.00011543771042621105,0
2017,AOK Nordost,1,1463445,0.9,1.336587241945729,Regional,1463824.0,0.9,0.0002589109073221917,0
2017,AOK Nordost,2,1466537,0.9,1.336587241945729,Regional,1463445.0,0.9,-0.0021128228255930357,0
2017,AOK Nordost,3,1471015,0.9,1.336587241945729,Regional,1466537.0,0.9,-0.003053451771077034,0
2017,AOK Nordost,4,1474816,0.9,1.336587241945729,Regional,1471015.0,0.9,-0.002583930143472364,0
2018,AOK Nordost,1,1471401,0.9,1.31108847659066,Regional,1474816.0,0.9,0.002315543091477174,0
2018,AOK Nordost,2,1465949,0.9,1.31108847659066,Regional,1471401.0,0.9,0.003705312148081998,0
2018,AOK Nordost,3,1462532,0.9,1.31108847659066,Regional,1465949.0,0.9,0.0023309132855235757,0
2018,AOK Nordost,4,1460611,0.9,1.31108847659066,Regional,1462532.0,0.9,0.0013134755342105336,0
2019,AOK Nordost,1,1458965,0.9,1.293967561066205,Regional,1460611.0,0.9,0.0011269256496082803,0
2019,AOK Nordost,2,1449306,0.9,1.293967561066205,Regional,1458965.0,0.9,0.006620446686520924,0
2019,AOK Nordost,3,1442989,0.9,1.293967561066205,Regional,1449306.0,0.9,0.004358637858395673,0
2019,AOK Nordost,4,1443904,0.9,1.293967561066205,Regional,1442989.0,0.9,-0.0006341004678483343,0
2020,AOK Nordost,1,1434236,0.9,1.26898359602194,Regional,1443904.0,0.9,0.006695736004609725,0
2020,AOK Nordost,2,1427403,0.9,1.26898359602194,Regional,1434236.0,0.9,0.004764208958637212,0
2020,AOK Nordost,3,1427887,0.9,1.26898359602194,Regional,1427403.0,0.9,-0.0003390773313493106,0
2020,AOK Nordost,4,1421611,0.9,1.26898359602194,Regional,1427887.0,0.9,0.004395305791004471,0
2021,AOK Nordost,1,1412194,1.5,1.27,Regional,1421611.0,0.9,0.006624174967695101,1
2021,AOK Nordost,2,1406573,1.5,1.27,Regional,1412194.0,1.5,0.003980331314252857,0
2021,AOK Nordost,3,1403338,1.5,1.27,Regional,1406573.0,1.5,0.0022999161792526942,0
2021,AOK Nordost,4,1398366,1.5,1.27,Regional,1403338.0,1.5,0.0035429810922243963,0
2022,AOK Nordost,1,1387304,1.7,1.230620465225294,Regional,1398366.0,1.5,0.007910661443427544,1
2022,AOK Nordost,2,1376822,1.7,1.230620465225294,Regional,1387304.0,1.7,0.007555661916926643,0
2022,AOK Nordost,3,1377231,1.7,1.230620465225294,Regional,1376822.0,1.7,-0.00029706091273962794,0
2022,AOK Nordost,4,1379836,1.7,1.230620465225294,Regional,1377231.0,1.7,-0.00189147644803232,0
2023,AOK Nordost,1,1375153,1.9,1.24,Regional,1379836.0,1.7,0.0033938815917253936,1
2023,AOK Nordost,2,1364654,1.9,1.24,Regional,1375153.0,1.9,0.007634786820084747,0
